id,question,option_a,option_b,option_c,option_d,correct_option
OIC-235-01-A,What does 'dry pericarditis' refer to in the context of acute pericarditis?,A condition where the inflammation is accompanied by increased fluid accumulation.,A rare form of heart attack caused by a sudden blockage in one of the coronary arteries.,A specific type of kidney disease characterized by high levels of protein in the urine.,An inflammatory condition that affects only the outer layer of the pericardium.,a
OIC-235-03-A,What is a common emergency in acute pericarditis?,Tachycardia,Pulmonary embolism,Tetanus,Hypertension,option_a
OIC-235-10-B,What is the most common cause of early pericarditis?,Haemorrhage into the pericardial sac,Pericardial effusion due to myocardial infarction,Acute rheumatic fever,Adrenal insufficiency,option_a
OIC-235-04-A,What is the expected ECG evolution in acute pericarditis?,"Normal, with a focus on sinus tachycardia",Variable ST elevation and QRS widening,Concave upward ST depression,Decreased heart rate,b
OIC-235-14-B,Quel est l'auteur principal des principales étiologies de la tamponade cardiaque ?,Haemopericardium,Traumatice,Neoplastic,Viral,A
OIC-235-11-B,What is the main etiology of tuberculous pericarditis?,Bacterial Pericarditis,Neoplastic Pericarditis,Autoimmune Pericarditis,Chronic Renal Failure,b
OIC-235-13-A,What is a common complication of acute myocarditis?,Elevation of creatine kinase levels,Diagnosis with echocardiography only,Abnormal electrocardiogram,Myocardial infarction,option_a
OIC-235-06-B,What is a characteristic feature of acute pericarditis on echocardiography?,Pericardial thickening,Pericardial mass (tumor etiology),Increased cardiac output to compensate for the effusion,Decreased cardiac output due to compression of the heart chambers,option_a
OIC-235-08-A,What is the most likely cause of acute pericarditis with a history of immunosuppression?,Myocarditis,Tamponade,Hyperalgesic patient despite first dose of NSAIDs,"Fever > 38°C, duration of symptoms, abundant pericardial effusion, resistance to anti-inflammatory treatment.",Myocarditis
OIC-235-12-A,What is the recommended treatment for Benign Acute Pericarditis?,Colchicine,Corticosteroids,Aspirin and Ibuprofen,NSAIDs alone,c
OIC-235-02-A,What is a characteristic feature of acute pericarditis that is not present in coronary syndromes?,Retrosternal chest pain,Inconstant and fleeting pericardial friction,Typical ECG changes (Stage I or sub-PQ),Dysphonia,option_b
OIC-235-09-A,What is the typical viral etiology of acute pericarditis?,Enterovirus,Cytomegalovirus,Hepatitis C,COVID-19,option_a
OIC-235-15-A,What is the correct interpretation of cardiogenic shock in acute pericarditis?,Compression of the cardiac chambers due to excessive pressure from the effusion,"Absence of chest pain, as it can be masked by the fluid buildup",The absence of jugular turgor and muffled heart sounds,A sudden onset of symptoms without positional dyspnea or orthopnea,option_a
OIC-235-05-B,What is the main purpose of a pericardial puncture in acute pericarditis?,To relieve pressure on the heart,To diagnose the cause of the condition,To treat any underlying infection,To drain fluid from the chest cavity,a
OIC-100-03-A,What is the main etiology of a child with an acute episode of severe headache?,Reversible Cerebral Vasoconstriction Syndrome (RCVS),Intracranial Hemorrhage,Cardiovascular Causes,Brutal Headache,option_b
OIC-100-04-B,What is the most likely diagnosis for a chronic headache in adults and children?,Chronic Migraine,Episodic Tension Headache,Algie Vasculaire de la Face,Classic Trigeminal Neuralgia,option_a
OIC-100-02-A,What is a common emergency cause of headache in adults and children that requires immediate hospitalization?,Meningitis Syndrome,Intracranial Hypertension Syndrome,Subarachnoid Hemorrhage,Hypertensive Encephalopathy,c
OIC-100-06-A,What is the indication for hospitalization and lumbar puncture in the presence of acute headache in adults?,"A diagnosis of severe secondary headache has been made, and etiological treatment is to be continued.",The patient's condition warrants immediate admission to the hospital.,LP must be performed without prior imaging or blood tests.,The presence of fever in addition to a sudden acute headache is necessary for LP.,b
OIC-100-07-A,What is the appropriate first-line treatment for acute headaches in adults?,Provide oxygen therapy to the patient,Prescribe acetaminophen as the only analgesic,Administer a sedative to help with sleep,Avoid using any pain relief medication,option_a
OIC-100-09-A,What should be done before prescribing medication for a primary headache?,Consult a specialist,Call emergency services,Use general pain relief,Wait until you've had breakfast,a
OIC-100-05-A,What is a characteristic feature of intracranial hypertension syndromes?,A. Morning headache,B. Dizziness,C. Visual disturbances,D. Increased temperature in winter,C
OIC-100-01-A,What is the most appropriate way to distinguish a primary acute headache from a chronic one?,History and clinical examination,Blood tests,Imaging studies,Medication trial,a
OIC-100-08-A,What is the typical imaging modality for acute and chronic headaches in children?,Cerebral CT scan,MRA (Magnetic Resonance Angiography),LP (Lumbar Puncture),MRI (Magnetic Resonance Imaging),d
OIC-145-12-A,What is a common measure to prevent the spread of human-to-human infectious diseases?,Use of condoms,Geographical isolation of carriers,Veterinary measures for animal reservoirs,Environmental sanitation and water treatment,option_a
OIC-145-06-B,What is one primary function of Santé Publique France (SPF)?,Monitoring air pollution in cities.,Collecting data on mental health in rural areas.,Detecting the spread of cancer through social media.,Providing public education campaigns against tobacco use.,option_a
OIC-145-03-B,"What is the main structure responsible for infectious disease surveillance in France? 
",Santé Publique France,ARS,CNR,RéPIAS,option_a
OIC-145-09-B,What is the primary mode of transmission for tuberculosis?,Respiratory droplets,Direct horizontal transmission from an animal to a person (zoonosis),Indirect horizontal transmission between the reservoir and the host via an intermediary,Vertical transmission from mother to child,a
OIC-145-05-B,What is the formula for calculating Positive Predictive Value (PPV)?,PPV = b/(b + d),PPV = c/(c + d),PPV = a/(a + c),PPV = d/(d + c),option_c
OIC-145-07-B,What is the primary difference between an endogenous and exogenous infection?,"An endogenous infection occurs when the reservoir is the microbiota, while an exogenous infection occurs when the reservoir is outside the host.","A reservoir can be human, animal, or environmental",The primary difference between endogenous and exogenous infections is whether they are caused by commensal microorganisms (endogenous) or opportunistic agents (exogenous),"An infection is said to be endogenous when the host's immune system is able to contain it, while an infection is said to be exogenous when the host's immune system is unable to contain it.",a
OIC-145-01-A,What are transmissible infectious diseases?,Diseases caused by parasites,Diseases that can only be spread through direct contact with an infected individual,Diseases that require a specific type of food or water to contract,Diseases that are always contagious and spread from person to person,option_b
OIC-145-13-A,What is a key aspect of managing communicable infectious diseases?,Eviction from public spaces,Isolation in schools,Temporary exclusion for all cases,No eviction required at all,option_c
OIC-145-11-B,What is the primary responsibility of the NCRs?,To provide medical services,To develop new medicines,To manage public health programs,To conduct research on infectious diseases,c
OIC-145-02-B,What is the main aim of communicable infectious disease surveillance?,To prevent outbreaks,To identify new cases,To monitor disease trends,To detect antibiotic resistance,c
OIC-145-04-B,What is the basic reproduction number (R<sub>0</sub>) for COVID-19?,2,3.5,4.8,1,a
OIC-145-14-B,"What is the main purpose of the ""Réseau Sentinelles"" network?",To monitor and prevent diseases,To promote public health through vaccination,To provide medical care to patients with chronic conditions,To collect data on rare or unusual illnesses,To monitor and prevent diseases
OIC-145-08-A,Direct Horizontal transmission involves what?,Contact,Droplets,Air,Environment,b
OIC-145-10-A,Who is responsible for reporting a communicable infectious disease in France?,Patient,Doctor,Biologist,Public Health Official,b
OIC-037-11-B,What should be offered to patients who have had an abortion?,"Oral oestroprogestogenic contraception (or patch) and progestin-only contraception,","Intrauterine device (IUD),","The vaginal ring,",Definitive tubal sterilization,option_a
OIC-037-02-A,What is the most common cause of an unintended pregnancy?,Lack of contraception usage.,Failure to use emergency contraception.,Change in method without proper compliance.,Insufficient education on abortion methods and procedures.,option_a
OIC-037-10-B,What is the correct dose of ibuprofen for pain relief in medical abortion?,>=400mg,<600mg,>800mg,"1,200mg/24h",b
OIC-037-09-B,What is a potential contraindication to mifepristone use?,Severe liver disease,Hypertension,Malnutrition,Chronic adrenal insufficiency,a
OIC-037-08-B,What is the main difference between the medicinal and instrumental techniques of abortion?,The medicinal technique requires a 7-day waiting period after taking mifepristone,The instrumental technique can be performed at any gestational age,The instrumental technique uses a vacuum aspiration device to remove tissue from the uterus,The instrumental technique is only effective for women with a history of previous uterine surgery,option_a
OIC-037-04-A,What is the estimated age of women most concerned about undergoing an abortion?,20-24,25-29,30-34,35-39,a
OIC-037-06-A,Where can a woman seek voluntary termination of pregnancy?,Health establishments,Family planning centres,Private practice,All of the above,d
OIC-037-01-A,What led to the abolition of penalizing abortion in France in 1975?,To protect women's rights during childbirth,To control population growth through stricter laws on birth control,To promote tourism by making it easier to travel abroad for medical treatment,To reduce the number of abortions performed in rural areas where medical facilities were limited,option_a
OIC-037-07-A,What is the purpose of an initial consultation with a doctor before requesting an abortion?,To confirm the patient's request,To provide oral information on two methods of pregnancy termination,To prescribe contraception and emergency contraception to all patients,To carry out the procedure immediately,option_a
OIC-037-05-A,What is the legal time limit for voluntary termination of pregnancy in France?,up to 8 weeks' gestation,"up to 16 weeks', amenorrhoea",up to 12 months after conception,up to 18 weeks' gestation,b
OIC-037-12-B,What is a key factor for identifying risk factors for recidivism in voluntary termination of pregnancy?,Age at the time of termination,Type of contraception used,Socio-economic status,Previous experience with violence,a
OIC-037-03-B,What is the estimated annual number of abortions carried out in France?,"215,000","230,000","220,000","240,000",b
OIC-229-02-A,What is the primary complication of central venous catheterization?,Infection,Thrombosis,Hemorrhage and embolism,Malignancy,c
OIC-229-07-B,When should antibiotic therapy not be initiated for infection on a venous line?,General signs of sepsis,Prescribe an anti-infective (SD-255),"In cases of immunodepression, neutropenia, or other risk factors",Fever only,Distractor: option_d
OIC-229-05-A,How should you remove a central venous line when it's located at the junction of the superior vena cava and internal jugular vein?,In the supine position,Perform removal in the prone position,Stop breathing or breathe out during removal,"Use a different type of line, such as an arterial line",option_a
OIC-229-03-A,What should you do before inserting a peripheral venous line to minimize the risk of air embolism?,Use a vacuum pump to create negative pressure,Hold the needle at an angle to prevent kinking,Insert the needle through the patient's skin in the direction of blood flow,Wait for the venous system to become stagnant before inserting the line,c
OIC-229-06-B,What should you do before inserting a central venous line?,Wait until all medications are administered,Perform a physical examination to check for any underlying medical conditions,Use a new needle and catheter every time,Only use the skin of the patient as a site for insertion,option_a
OIC-229-01-A,What is the primary indication for using an implantable vein as a central access point?,Diabetic foot ulcers,Prostate cancer,Heart failure,Kidney disease,b
OIC-229-04-A,What is the recommended removal time for venous access monitoring and line placement?,24 hours,1 day,2 weeks,Never,a
OIC-038-10-B,What is a common cause of male infertility that is NOT related to environmental factors?,Genetic factors,Acquired testicular pathologies,Environmental causes,Tumors of the hypothalamo-hypophyseal region,option_c
OIC-038-04-B,What is the main purpose of the first consultation with an infertile couple?,To discuss lifestyle habits,To identify medical conditions that may be contributing to infertility,To determine if a woman has any reproductive issues,To perform a routine examination and take a medical history of the couple.,b
OIC-038-09-B,What is the most common cause of female infertility?,Polycystic ovary syndrome,Premature ovarian failure,Functional hypothalamic amenorrhea,Uterine or cervical pathologies,option_a
OIC-038-02-A,What is the definition of infertility according to the World Health Organisation (WHO)?,The inability to conceive a pregnancy after 6 months of unprotected sexual intercourse.,A clinical pregnancy that lasts for more than 18 months without any conception.,A condition where a man is unable to ejaculate even if he has an erection.,An inability to release sperm from the testicles.,option_a
OIC-038-03-B,"What percentage of couples with an average age of 25 have a fertility rate of 20-25%, according to France's total fertility rate?",10,15,5,30,b
OIC-038-07-B,What should be done in the first consultation of a couple with infertility?,Conduct an ultrasound to evaluate the fertility of both partners,Perform a post-coital test (Hühner test) and Hysterosalpingography D5-J9,Use the Higham score to assess menorrhagia severity,Conduct a routine pelvic examination with an ultrasound of the ovaries only,option_a
OIC-038-01-A,What does 'fecundity' refer to?,The ability of a woman to become pregnant,A person's emotional state after losing their job,The chances of getting a pregnancy in the next month without using contraception,The average number of children born per family in a given country over time,a
OIC-038-08-B,What is the most common abnormality in sperm morphology after staining on slides?,Teratozoospermia,Asthenozoospermia,Normozoospermia,Oligozoospermia,b
OIC-038-06-B,What is the most common cause of infertility in women?,"Ovulation Disorders (SD-094): Polycystic ovary syndrome, cycle disorders (Spaniomenorrhoea, Amenorrhea)","Premature Ovarian Failure: Cycle disorders (Short cycles, Amenorrhea), Flushing, Mood disorders","Functional Hypothalamic Amenorrhoea: Food selection, Intensive sports activities","Tubal Obstruction: Previous sexually transmitted infection, History of ectopic pregnancy, Previous abdomino-pelvic surgery",option_a
OIC-038-05-B,What is a common risk factor for testicular cancer in men aged 30-40?,Exposure to heat,Tobacco consumption,Genetic diseases,All of the above,a
OIC-187-06-A,What is the primary cause of delayed pressure urticaria?,A) Immunological contact urticaria,B) Irritant contact urticaria,C) Delayed pressure urticaria,D) Solar urticaria,C
OIC-187-11-B,What is a common complication of atopic dermatitis that can occur with Herpes Virus (HSV-1)?,Infectious contact dermatitis,Superinfection by Staphylococcus aureus,Viral exanthem,Herpes simplex infection,b
OIC-187-05-A,What is the primary difference between chronic urticaria and anaphylaxis?,"Chronic urticaria is caused by a specific allergen, while anaphylaxis is caused by an immediate hypersensitivity reaction.",Both are types of allergic reactions that can cause hives,"Anaphylaxis occurs when the body's immune system overreacts to a harmless substance, whereas chronic urticaria has no such reaction.","Chronic urticaria is more likely to be triggered by stress or emotional factors, while anaphylaxis is always caused by an external factor.",c
OIC-187-12-A,Which of the following is a correct treatment option for atopic dermatitis?,Using a mild soap-free gel,Overusing emollients,Applying topical immunomodulators,Using oral antihistamines,option_b
OIC-187-18-A,What should be done before applying a topical treatment for contact eczema?,Apply a thick layer of ointment,Use a strong antihistamine cream,Wear tight clothing to prevent scratching,Avoid using moisturizing creams during the flare-up,c
OIC-187-02-B,What is the primary mechanism behind mast cell activation in urticaria?,Immunological: via IgE,Non-immunological: by direct activation of mast cells via different receptors on their surface or by the direct pharmacological action of certain drugs,Hormonal: through the release of estrogen,Genetic: due to inherited mutations in the genes encoding histamine receptors,option_a
OIC-187-07-A,What should be done to alleviate symptoms of contact dermatitis?,Apply a moisturizing cream to the affected area,Use a mild soap to clean the skin,Bathing in hot water may help relieve symptoms,A thorough examination by a doctor is required before treatment begins,option_a
OIC-187-13-B,What is the primary mechanism by which allergic contact dermatitis occurs in adults?,T cell-mediated hypersensitivity,Immunoglobulin E (IgE) mediated hyperresponsiveness,Neurotransmitter transmission,Vasopressin release,a
OIC-187-09-A,What is the typical location of atopic dermatitis in infants?,Face and scalp,Trunk and limbs,Under nappy area and nose,Nose area only,a
OIC-187-16-A,What is the primary source of contact allergy for clothing products?,Dyes in clothing,Leather from shoes,Glue and rubber in footwear,Nickel accessories,option_a
OIC-187-08-B,What is one key factor that is associated with both hypsensitivities and mucocutaneous allergies in children?,Genetic predisposition,Immunological response,Environmental exposure to common allergenic substances,Adequate sleep habits,c
OIC-187-03-A,What is the primary characteristic of superficial urticaria?,Edematous papules with a clear border,Erythematous lesions with a raised center,"Fleeting, migratory, and pruriginous nature","Transient, receding within 24 hours without scarring",c
OIC-187-14-A,What is the typical progression of acute eczema?,"Four phases: erythematous, vesicular, scabbed, and pruritic","Three phases: erythematous, vesicular, and scabbed",Two phases: erythematous and vesicular,Only one phase: erythematous,a
OIC-187-17-B,What does a negative patch test result indicate?,A positive reaction with increased redness and swelling,The patient has developed an allergy to all potential allergens in the area,No exposure or interaction with the suspected allergen was possible,The patch test was not conducted correctly,c
OIC-187-01-A,What is the main cause of acute urticaria?,Immunological response to food or insect bites,Mastocyte activation due to complex immunological mechanisms,Genetic predisposition to skin sensitivity,Allergic reaction to certain substances,b
OIC-223-05-A,What is the main difference between familial hypercholesterolaemia (IIa) and heterozygous familial hypercholesterolaemia (IIa)?,"Familial hypercholesterolaemia is characterized by a severe increase in LDL-cholesterol levels, while heterozygous familial hypercholesterolaemia has very high LDL-cholesterol levels but not as severe as familial hypercholesterolaemia.","Heterozygous familial hypercholesterolaemia is characterized by a joint increase in triglycerides and an isolated increase in LDL-cholesterol, while familial hypercholesterolaemia has an isolated increase in triglycerides.",Both conditions have very high LDL-cholesterol levels but are distinguished by the presence of a genetic anomaly affecting lipoprotein lipase activity.,"Familial hypercholesterolaemia is characterized by a harmonious elevation of cholesterol and triglycerides, while heterozygous familial hypercholesterolaemia has an isolated increase in LDL-cholesterol or triglycerides.",b
OIC-223-04-A,When to Test for Dyslipidemia,Age 30,Age 60,Menopause,Hormonal Contraception,b
OIC-223-01-A,What is the main difference between the SCORE2 and SCORE2-OP equations in assessing global cardiovascular risk?,"SCORE2 uses serum non-HDL cholesterol concentration, while SCORE2-OP uses smoking habits","SCORE2-OP does not account for age, sex, or family history of cardiovascular disease",SCORE2-OP is more accurate in assessing very high risk patients,"SCORE2 and SCORE2-OP equations are valid for individuals with diabetes, chronic renal failure, familial hypercholesterolaemia, or known atheromatous pathology",b
OIC-223-02-A,What are the three main types of dyslipidemia?,Hypercholesterolaemic,Triglycerideic,Metabolic,Type 2 Diabetes,c
OIC-223-08-B,What is the primary test to order when searching for secondary dyslipidemia?,Blood glucose levels,Lactate dehydrogenase (LDH) in urine,Cholesterol profile,TSH,B
OIC-223-07-A,What is the main cause of secondary hyperlipidemia?,Hypothyroidism,Hypercorticism,Cholestasis,Corticosteroids,a
OIC-223-09-A,What is the appropriate LDL cholesterol target in patients with familial hypercholesterolaemia aged ≥40 years without diabetes or renal insufficiency?, ,<1.4 mmol/L,<2.6 mmol/L,<3.5 mmol/L,b
OIC-223-03-B,What is the primary mechanism by which hypertriglyceridemia contributes to atherosclerosis?,Inflammation,Oxidation,Hormonal imbalance,Genetic predisposition,b
OIC-223-10-A,What should be the ideal daily fat intake for someone with hypercholesterolaemia?,35%° total calorie intake,50%° total calorie intake,less than 20%° total calorie intake,all of the above,a
OIC-227-01-A,What are the three main parts of the CEAP classification for chronic venous insufficiency?,"Clinical, Aetiological, Anatomical","Pathological, Aesthetic, Clinical","Epidemiological, Anthropometric, Clinical","Genetic, Environmental, Clinical","Clinical, Aetiological, Anatomical"
OIC-227-05-A,What is the only factor that can cause varicose veins in a male?,Heredity,Sedentary lifestyle,Female gender,Multiple pregnancies,b
OIC-227-02-B,What drives venous return from the legs?,Gravity,Muscle contractions,Heart rate,Atrial pressure,a
OIC-227-09-A,What is the correct way to perform a Doppler ultrasound to diagnose Chronic Venous Insufficiency (CVI)?,The patient lies down and the Doppler probe is placed on their leg.,"The patient stands with good circulation, but the Doppler probe is still applied to their leg.",The patient performs a series of jumping jacks while standing in front of the Doppler machine.,The patient cannot perform any physical activity and must be placed on an examination table.,option_b
OIC-227-04-B,What is a common cause of chronic venous insufficiency (CVI) in the elderly?,Varicose Disease,Primary Deep Valve Insufficiency,Post-Thrombotic Syndrome,Compressive Venous Syndromes,b
OIC-227-03-A,What is the Villalta score used to assess?,Objective signs,Subjective symptoms,Both,Venous reflux,b
OIC-227-10-B,What is the primary goal of elastic compression therapy for chronic venous insufficiency and varicose veins?,Reduce venous hyperpressure,Increase blood flow to affected areas,Improve circulation to surrounding tissues,Relieve symptoms such as pain and discomfort,a
OIC-227-07-A,What is the main clinical sign of chronic venous insufficiency (CVI) that worsens when physical activity improves?,Pain or heaviness in the lower limbs,Cramping,Intermittent venous claudication,Cold,a
OIC-227-08-A,What type of skin condition is characterized by the presence of large ulcers with signs of chronic venous insufficiency and varicose veins?,Venous ulcer,Skin tag,Fibrosarcoma,Carcinoma of the skin,option_a
OIC-227-06-B,What is a common factor contributing to the higher prevalence of chronic venous insufficiency in women?,Genetics,Hormonal fluctuations,Age-related wear and tear,Lack of exercise,b
OIC-183-04-A,What is one key aspect of Health Monitoring in Occupational Medicine?,Medical Diagnosis,Workstation Adaptation,Employee Fitness Testing,Consultation on Work Stoppage,option_c
OIC-183-05-B,What is the purpose of the **Company Sheet** in Occupational Health Medical File?,To record specific workplace hazards and provide recommendations for reducing exposure.,To report an employee's medical history to their employer without informing them about their current health status.,To inform the employer about any work-related injuries or illnesses that may affect the employee's fitness for duty.,To document only general company policies and procedures without any relation to the employee's job or health.,c
OIC-183-03-B,What is the main purpose of employee health monitoring?,Regularly monitor employees' physical and mental well-being.,Conduct regular exercises in the office to improve employees' overall fitness.,Use a food diary to track employees' eating habits to identify potential risks.,Organize sports teams for employees with specific health conditions.,Regularly monitor employees' physical and mental well-being.
OIC-183-01-B,What is the primary function of an inter-company OHS department?,To provide advice on workplace injuries,To conduct employee health risk assessments,To manage company-specific occupational risks,To promote employee well-being,option_a
OIC-183-06-A,What is the primary goal of Primary Prevention?,Preventing illness after it occurs,Reducing risk exposure for all employees,Protecting against noise-induced hearing loss,Providing earplugs to protect against noise,option_b
OIC-183-07-B,What is the primary role of HIERARCHisation des risques professionnels?,To identify potential hazards,To develop a risk assessment report,To implement a safety policy,To determine the most dangerous chemical agent, To identify potential hazards 
OIC-183-02-B,What is the main purpose of the occupational health physician's actions in the workplace?,To provide medical care to employees,To conduct research on potential hazards,To implement safety protocols and emergency procedures,To train new employees,c
OIC-183-08-A,What is the correct order to implement risk management measures in occupational medicine?,Eliminate hazards first,Limit emissions at source first,Limit employee exposure first,Evaluate the effectiveness of preventive measures first,option_b
OIC-073-01-A,What is the main purpose of psychotherapy?,To cure mental illnesses,To improve self-esteem through positive thinking,To increase feelings of happiness and calmness,To treat emotional disorders with medication only,to improve self-esteem through positive thinking
OIC-073-02-A,What are the main principles that distinguish psychotherapy?,The use of a validated therapeutic tool,A specific treatment plan with clear goals,Patient commitment and therapist empathy,Only pharmacotherapy and social therapy,option_a
OIC-073-04-A,What is the primary difference between Cognitive Behavioural Therapies (CBT) and Psychoanalytic Psychotherapy?,Both are forms of talk therapy,"CBT focuses on emotional regulation, while psychoanalysis emphasizes childhood conflicts","Psychoanalytic psychotherapy is more focused on individual unconscious conflicts, whereas CBT aims to identify and change learned behaviors",Both focus on the patient's symptoms,c
OIC-073-08-B,What is the primary focus of Cognitive Remediation techniques in rehabilitation?,Improving cognitive function,Recovering motor skills,Enhancing emotional regulation,Increasing general intelligence,option_a
OIC-073-05-B,What is the common principle that underlies all psychotherapies?,Theoretical model of the psyche,"Therapeutic framework: objective, duration, tools, limits, etc.",Quality therapeutic relationship or alliance,Patient involvement in decision-making processes,option_a
OIC-073-09-B,What is the primary indication for Therapeutic Education?,Mental retardation,Chronic pain disorder,Depression,Cognitive remediation,c
OIC-073-03-B,Who can be a psychotherapist?,Psychiatrist,Clinical psychologist,Non-clinician psychologist,Psychoanalyst,A regulated title (2010): National Register
OIC-073-06-B,What is the primary difference between psychotherapeutic techniques and supportive psychotherapy?,Psychotherapeutic techniques are used to treat specific mental health conditions.,Supportive psychotherapy focuses on helping patients cope with stressful life situations.,Psychotherapeutic techniques involve a more structured approach.,The primary goal of supportive psychotherapy is to help patients develop self-esteem.,b
OIC-073-07-B,What is the primary purpose of cognitive-behavioural therapy in managing anxiety?,Improve coping skills.,Suppress negative thoughts.,Use medication only.,Eliminate physical symptoms.,Improve coping skills.
OIC-237-02-A,What is a common underlying cardiac condition that can lead to ventricular tachycardia in people with palpitations?,Ischaemic heart disease,Hypertrophic cardiomyopathy,Ventricular septal defect,Long QT syndrome,a
OIC-237-07-A,What is the typical heart rate of individuals experiencing a junctional tachycardia?,180-200/min,120-150/min,250-300/min,220-240/min,b
OIC-237-09-B,What is a characteristic feature that can lead to the diagnosis of cardiac neurosis?,A history of heart attacks,An increased risk of developing high blood pressure,A family history of depression,A long-standing history of smoking,a
OIC-237-05-A,What is the main difference between an atrial and ventricular extrasystole?,Atrial,Ventricular,Junctional,Right/Left delay,option_a
OIC-237-06-A,What is a common physiological context for adaptive sinus tachycardia?,Emotional stress,Painful exercise,Hyperventilation,Atrial fibrillation,a
OIC-237-04-B,What should be done if the patient experiences frequent palpitations (>1/week)?,"[A] Perform a Holter ECG with a recording time of between 24 and 96 hours],"" + ","[B] Conduct a long-term ambulatory ECG (7 to 21 days)],","[C] Stop the patient's current treatment immediately],",[D] Refer the patient to a cardiologist for further evaluation].,A
OIC-237-01-A,What does 'palpitations' mean?,A feeling of anxiety when you're not sure what's happening to your heart,A sensation that your heart is skipping a beat,A condition where your heart beats too slowly,A feeling of being overwhelmed by emotions,option_a
OIC-237-08-B,What is the main characteristic of Wolff-Parkinson-White syndrome on an ECG?,Short PR interval.,Wide QRS with delta wave.,"Atrial fibrillation with a short PR interval and wide QRS, but without delta wave.",No characteristic of Wolff-Parkinson-White syndrome.,b
OIC-237-03-A,What type of ECG recording should be performed before a Holter ECG in cases of frequent palpitations?,A 24-hour continuous ECG,A Holter ECG with a short-term recording time,An ECG taken during stress testing,None of the above,A 24-hour continuous ECG
OIC-101-05-A,What is the most common cause of Peripheral Facial Paralysis (PFP)?,Frigore,Trauma,Diabetes,Tumors,b
OIC-101-07-A,What should be done immediately for a patient with facial paralysis and frigidity?,Administer corticosteroid injections,Wear sunglasses at all times,Use warm compresses to relieve pain,Get plenty of rest,option_a
OIC-101-02-A,What is the main difference between central and peripheral facial paralysis?,Central,Peripheral,Both,Upper/lower,b
OIC-101-08-B,What is the common outcome for facial paralysis?,Favourable Outcome,Unfavourable Trend,Recovery,Residual Synkinetic Movements,a
OIC-101-06-A,What is the primary difference between facial paralysis and frigidity?,Frigidity occurs due to excessive salivation,A severe facial twitch can be a symptom of both conditions,Frigidity has no discernible link to cranial nerve involvement,The primary cause of frigidity is often related to hormonal imbalances,c
OIC-101-10-A,What is the primary indication for imaging in Peripheral Facial Paralysis?,Brain MRI,Cerebral Scan,Other Imaging,Cervical CT/MRI with injection,b
OIC-101-01-B,What is a key characteristic of facial paralysis?,Muscle weakness,Ageusia,Corneal reflex loss,Hyperacusis,a
OIC-051-03-A,What is the primary cause of micturition disorders in children?,Anatomical or neurological cause,Secondary to urinary tract infection,Isolated primary enuresis,"Permanent, drip incontinence due to ectopic abruption of the urinary tract",option_a
OIC-051-01-A,What should be done first in a clinical investigation to confirm or rule out micturition disorders in children?,A. Consultation with parents about their child's toilet training habits.,B. Conduct an abdominal examination for stercoral congestion and a bladder globe.,C. Take a urine sample from the child to assess for urinary infection.,D. Perform a neurological examination of the child's lower limbs and perineal sensitivity.,A
OIC-051-06-A,What percentage of children with ADHD are also diagnosed with isolated or mono-symptomatic primary enuresis?,20%,30-60%,10%,5%,b
OIC-051-05-B,What is a characteristic symptom of nocturnal enuresis in children?,Daytime leakage,Nocturnal enuresis,Urinary tract malformation,Weak stream,b
OIC-051-02-B,What is the correct diagnostic approach for suspected micturition disorders in children?,A urine dipstick supplemented by an ECBU should always be used to exclude a low urinary infection and suspect hyperconcentration of urine leading to micturition problems,"Further examination is only necessary if the primary nature of the micturition disorder is not fully established, especially in cases where there are other symptoms such as constipation or fecal leakage",A urodynamic assessment may be suggested after questioning and clinical examination to find an organic cause of voiding problems,"The diagnostic approach should always include a urinary debimetry test, an ultrasound scan of the urinary tract with measurement of the post-micturition residue, or even a urodynamic assessment",option_a
OIC-051-04-B,What other condition often follows micturition problems in children?,Attention Deficit Hyperactivity Disorder,Gastroesophageal Reflux Disease (GERD),Allergies,Sleep Apnea,option_b
OIC-336-09-A,"When to perform a lumbar puncture in an emergency, according to the guidelines.",A fever with no obvious cause,Meningitis context,Encephalitis context,Tuberculous meningitis,b
OIC-336-13-A,What is the main cause of non-traumatic coma in adults and children?,Metabolic,Toxic,Vascular,Endocrine,c
OIC-336-04-A,What does a patient in a coma have that would cause the pupils to be myotic?,Opioids,Threatening blink,Pilocarpine,Acetazolamide,a
OIC-336-06-B,What is a key characteristic of a deep coma in a brain-dead patient?,Loss of consciousness,Increased heart rate,Abnormal muscle tone,Complete lack of responsiveness to stimuli,d
OIC-336-08-A,What is a critical emergency sign in adults and children with non-traumatic coma?,Unilateral mydriasis without decerebrate motor response,Glasgow score of 9 or more,Respiratory movements that are gasps,Central pulse and a blood glucose level above 5 mmol/L,option_a
OIC-336-01-A,What is a key characteristic of coma in adults and children?,Lack of spontaneous eye movements,"Presence of spontaneous eye movements, including blinking",No eye opening or response to stimulation,Eye tracking alone does not classify the patient as conscious,option_b
OIC-336-07-A,What should be done immediately after a child's coma or neurological disorder?,Administering glucose via an intravenous (IV) drip directly into the bloodstream.,Giving sugary drinks like soda or fruit juice to eat.,Only giving sugar cubes to patients with diabetes.,Waiting for 24 hours before any action is taken.,option_a
