id,question,option_a,option_b,option_c,option_d,correct_option,batch,model_answer,model_answer_val
OIC-187-13-B,What is the primary mechanism by which allergic contact dermatitis occurs?,CD8+ T cell activation,Type I hypersensitivity reaction,Delayed type IV hypersensitivity,Autoimmune response,c,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-187-09-A,What is the primary location of atopic dermatitis in infants?,Face and scalp,Nose and mid-face area,Under the nappy,Trunk and sides of limbs,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-187-16-A,What is the main allergen responsible for causing contact dermatitis in adults?,Clothing Products,Cosmetics,Medicines for Cutaneous Application (Topical),Occupational Allergens,c,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-187-08-B,What is one key factor that contributes to atopy?,Genetic predisposition,Environmental stress,A viral infection,Hormonal imbalance,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-187-03-A,What is the primary characteristic of superficial urticaria?,An annular or polycyclic lesion,A geographically-contoured plaque,"A pruriginous, fleeting, and migratory nature","A firm, non-itchy, pinkish-white edema with a sensation of tension or pain",c,batch1,"{ ""answer_option"" : ""a""}",a
OIC-187-14-A,What is the typical progression of acute eczema?,Erythematous phase with poorly defined redness,"The eruption evolves in three phases: erythematous, vesicular, and scabbing","The clinical appearance varies depending on the location: classic form (all over the body except the face), edematous form on the eyelids, and dysidrosic form with vesicles embedded in the stratum corneum","In allergic contact eczema, lesions start at the site where the allergen is applied and then spread to other areas of the body.",a,batch1,"{ ""answer_option"" : ""a""}",a
OIC-187-17-B,What is the primary difference between an irritant and allergic reaction?,"Irritant causes redness, whereas allergic reactions cause itching.",Allergic reactions are more severe than irritants.,"Irritants do not typically cause eczema, while allergic reactions can.",The test is only positive if the patient has a strong reaction to the allergen.,c,batch1,"{ ""answer_option"" : ""A"" }",a
OIC-187-01-A,What is the main cause of acute urticaria?,Genetic predisposition,Immunological reaction to food or environmental factors,Hormonal imbalance,Mastocyte activation due to viral infection,b,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-280-02-A,What is the second most common cause of ascites in France?,Liver cancer,Diabetes,Hypothyroidism,Cirrhosis,b,batch1,"{ ""answer_option"": ""A"" }",a
OIC-280-03-B,What is the typical protein level in cirrhotic ascites?,25g/L,20g/L,30g/L,35g/L,b,batch1,"{ ""answer_option"" : ""A"" }",a
OIC-280-01-A,What does ascites mean?,A collection of fluid in the abdominal cavity,An accumulation of blood in the abdomen,A condition where the liver becomes enlarged,A type of kidney disease,a,batch1,"{ ""answer_option"" : ""A"" }",a
OIC-280-04-B,What is the main difference between cirrhosis and carcinosis as causes of ascites?,Cirrhosis has a higher volume of ascites,Carcinosis has a lower volume of ascites,Both have similar volumes of ascites,Neither cirrhosis nor carcinosis is associated with abdominal pain,b,batch1,"{ ""answer_option"" : ""A"" }",a
OIC-280-05-A,What is a common first-line imaging examination for ascites?,Abdominal ultrasound,CT scan with contrast medium,MRI without contrast medium,Doppler ultrasound of the liver,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-212-05-A,What is a key indication for performing a blood smear in adults?,A low white blood cell count,A high red blood cell count,A normal platelet count,A high leukocyte count with no abnormalities,b,batch1,"{ ""answer_option"" : ""A"" }",a
OIC-212-06-A,What is the main etiology of anemia in adults and children?,Macrocytic anemias,Microcytic anemias,Ethylism,Cyanocobalamin (vitamin B12) or folic acid (vitamin B9) deficiency,b,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-212-07-A,What is the normal range for Mean Corpuscular Volume (VGM) in children?,100-120 fl,73-79 fl,75-81 fl,80-88 fl,b,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-212-01-A,What is the normal range for hemoglobin (Hb) in adults and children?,130-180 g/L,120-160 g/L,140-230 g/L,105-160 g/L,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-212-08-A,What is a typical value for Basophil Polynuclear Cells in newborns and children?,0.01-0.05 x10^9/L,0.1-0.2 x10^9/L,0.5-1.0 x10^9/L,2-11 x10^9/L,a,batch1,"{ ""answer_option"" : ""A"" }",a
OIC-212-02-A,What is a characteristic feature of myeloma in adults?,A significant increase in erythrocytes,A decrease in neutrophils,An increase in reticulocytes,A decrease in platelets,c,batch1,"{ ""answer_option"" : ""a""}",a
OIC-212-03-A,What is a common indication for a hemogram in adults?,Anaemia syndrome,Haemorrhagic syndrome,Pregnancy,Occupational medicine,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-212-04-A,What is a hemogram typically used to diagnose?,A state of shock,Intense pallor,"Extensive petechial purpura, hemorrhagic bullae in the mucous membranes, retinal hemorrhages at the back of the eye, hemorrhagic syndrome",A tumor syndrome of the hematopoietic organs,a,batch1,"{ ""answer_option"" : ""B"" }",b
OIC-223-05-A,What is the main difference between familial hypercholesterolaemia (IIa) and heterozygous familial hypercholesterolaemia (IIb)?,"Familial hypercholesterolaemia has a single gene mutation, while heterozygous familial hypercholesterolaemia has two copies of the mutated gene.","Heterozygous familial hypercholesterolaemia is characterized by very high LDL-cholesterol levels and early cardiovascular events in childhood, whereas familial hypercholesterolaemia is associated with severe forms secondary to single gene mutations.","Familial hypercholesterolaemia has a harmonious elevation of cholesterol and triglycerides, while heterozygous familial hypercholesterolaemia has an isolated increase in LDL-cholesterol or triglycerides.","Heterozygous familial hypercholesterolaemia is characterized by very high LDL-cholesterol levels and the occurrence of early cardiovascular events (before the age of 50), in the absence of effective cholesterol-lowering treatment.",b,batch1,"{ ""answer_option"" : ""a""}",a
OIC-223-04-A,When to Test for Dyslipidemia,Age 30,Age 60,Age 80,Age 40,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-223-01-A,What is the correct method to assess global cardiovascular risk in individuals aged 70 years and older?,SCORE2-OP equation,"Sum traditional risk factors (SFE-SFD-NSFA consensus, 2016)",Dyslipidaemia,Traditional Risk Factors only,b,batch1,"{ ""answer_option"" : ""B""}",b
OIC-223-02-A,What are the three main types of dyslipidemia?,Pure Hypertriglyceridaemia,Mixed Hyperlipidaemia,Primary Hypercholesterolaemia,Dyslipidaemia associated with Type 1 Diabetes,b,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-223-08-B,What is a key test to order in the search for secondary dyslipidemia?,Complete Blood Count,Thyroid Function Tests,Liver Function Tests,Kidney Function Tests,b,batch1,"{ ""answer_option"" : ""A""}",a
OIC-223-07-A,What is a common cause of secondary hyperlipidemia?,Hypothyroidism,Hyperthyroidism,Atherosclerosis,Corticosteroids,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-223-09-A,What is the recommended LDL-cholesterol target for patients with familial hypercholesterolaemia aged ≥40 years without diabetes or renal insufficiency?,1.8 mmol/L,2.6 mmol/L,3.5 mmol/L,4.9 mmol/L,b,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-223-03-B,What is the primary factor that contributes to the development of atherosclerotic plaque in individuals with dyslipidemia?,Hypertriglyceridemia,Hypothyroidism,Chronic inflammation,Genetics only,c,batch1,"{ ""answer_option"" : ""A"" }",a
OIC-223-10-A,What is the recommended daily fat intake for individuals with hypercholesterolaemia?,35% of total calorie intake,50% of total calorie intake,less than 10% of total calorie intake,20% of total calorie intake,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-227-01-A,What is the main difference between chronic venous insufficiency and varicose veins?,Varicose veins are caused by a blockage in the deep veins,Chronic venous insufficiency affects only the superficial veins of the lower limbs,Both conditions cause permanent dilatation of one or more superficial veins of the lower limbs,Varicose veins are caused by a blockage in the deep veins and reflux leads to stasis of venous blood in the feet,c,batch1,"{ ""answer_option"" : ""C"" }",c
OIC-227-05-A,What is a major factor favoring the onset of varicose veins?,Heredity,"Primary prevention through nutrition in adults and children, sedentary lifestyle",Age,Female gender,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-227-02-B,What is the primary mechanism responsible for varicose veins?,Atrial contraction,Left ventricular relaxation,Gravity-induced venous return,Perforating vein connection,c,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-227-09-A,What is the primary purpose of performing a Doppler ultrasound in the standing position to confirm the diagnosis of Chronic Venous Insufficiency (CVI)?,To check for superficial venous thrombosis,To identify functional signs and clinical examination findings,To measure toe pressure,To diagnose deep vein thrombosis,b,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-227-04-B,What is the primary cause of Chronic Venous Insufficiency (CVI)?,Varicose Disease or Essential Varicose Veins or Primary Varicose Veins,Post-Thrombotic Syndrome (PTS),Compressive Venous Syndromes,Functional Venous Insufficiency,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-227-03-A,What is the main difference between valve destruction and residual venous obstruction in post-thrombotic syndrome?,Valve destruction,Residual venous obstruction,Both are equally severe,Neither is a valid option,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-227-10-B,What is the primary goal of elastic compression therapy for chronic venous insufficiency (CVI)?,Reduce venous pressure to improve blood flow and reduce symptoms.,Increase blood flow through exercise and lifestyle changes.,Apply pressure to a segment of the limb using elastic materials without considering individual needs.,Use compression devices as a first-line treatment for all stages of CVI.,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-227-07-A,What is the most common symptom of chronic venous insufficiency (CVI)?,Pain or heaviness in the lower limbs,Varicose veins,Trophic disorders such as skin ulcers,No symptoms at all,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-227-08-A,What is the typical location of a varicose ulcer?,Peri-arterial,Peri-malleolar,Peri-femoral,Peri-anal,b,batch1,"{ ""answer_option"" : ""A"" }",a
OIC-227-06-B,What is a major public health problem in industrialized countries?,Atherosclerosis,Chronic venous insufficiency (CVI),Arteriosclerosis,Cardiovascular disease,b,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-183-04-A,What is the purpose of an occupational physician's 'Pre-Reinstatement Visit'?,To assess the employee's fitness for work,To determine if working conditions need to be adapted,To inform the employer about the employee's medical history,To provide written recommendations on workstation adaptations,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-183-05-B,What is the primary purpose of a Company Sheet in Occupational Health Medical Files?,To document and record occupational risks,To provide medical advice to employees,To report work-related injuries or illnesses,To inform employers about employee health status,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-183-03-B,What is one key tool used by an occupational health physician to prevent occupational risks?,Employee health monitoring,Actions in the field,Workstation studies,Advising on workplace safety policies,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-183-01-B,What is the primary purpose of an Occupational Health Service (OHS) department?,To provide medical care to employees,To manage employee absenteeism and presenteeism,To conduct workplace safety inspections,To develop and implement health promotion programs,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-183-06-A,What is the main difference between Primary and Secondary Prevention?,Primary Prevention aims to reduce noise levels in a workplace.,Secondary Prevention focuses on detecting diseases early,Tertiary Prevention involves providing medical treatment for existing conditions.,"Primary Prevention targets all types of risk, while Secondary Prevention is limited to medical aspects.",a,batch1,"{ ""answer_option"" : ""B""}",b
OIC-183-07-B,What is the first step in the occupational health team's risk assessment process?,Knowledge of workstations,Knowledge of product composition,Identification of potential hazards,Development of a hazard report,c,batch1,"{ ""answer_option"" : ""c"" }",c
OIC-183-02-B,What is one key action that an occupational health physician conducts directly in the workplace?,Conducting a fire drill,Conducting a fire drill,Assessing the nature and composition of chemical products used,Conducting a fire drill,c,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-183-08-A,What is the correct order to follow in a risk management approach?,Eliminate hazards first,Limit emissions at source first,Limit employee exposure first,Evaluate the effectiveness of preventive measures first,b,batch1,"{ ""answer_option"" : ""A""}",a
OIC-116-12-B,What is the primary cause of localized pruritus?,Mycosis,Pediculosis and Scabies,Insect Bites,Cutaneous Larva Migrans,b,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-116-03-A,What is the primary characteristic of pruritus?,A sudden onset,A persistent scratching behavior,An absence of skin lesions,A change in temperature,b,batch1,"{ ""answer_option"" : ""A""}",a
OIC-116-13-B,What is the primary cause of generalized severe pruritus in pregnancy?,Intrahepatic Cholestasis of Pregnancy,Autoimmune Bullous Dermatosis Specific to Pregnancy (Pemphigoid of Pregnancy),Polymorphic Rash of Pregnancy,Hormonal Fluctuations During Menstruation,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-116-11-A,What is the main cause of pediculosis?,A bacterial infection,A fungal infection,An allergic reaction to a food product,A viral infection,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-116-02-B,What is the primary mediator involved in urticaria?,Histamine,Serotonin,Calcitonin Gene-Related Peptide (CGRP),Vasopressin,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-116-10-B,What is a common underlying hematological cause to rule out when presenting with aquagenic pruritus?,Polycythemia vera,Thrombocytopenia,Anemia of chronic disease,Leukemia,a,batch1,"{ ""answer_option"" : ""A""}",a
OIC-116-06-A,What is the first-line examination for Pruritus Sine Materia?,CBC,"γ-GT, alkaline phosphatases",Creatinine levels,TSH,b,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-116-09-A,What is the most serious systemic cause of pruritus in Prutit?,Chronic renal failure,Martial deficiency,Psychogenic causes,"Haemopathies (lymphomas, myeloproliferative disorders)",a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-116-14-A,What is the primary goal of treating pruritus in dermatosis?,Identify the underlying cause,Eliminate the symptom entirely,Reduce itching to a minimum,Increase scratching behavior,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-116-08-A,What is the main cause of diffuse pruritus with skin lesions?,Urticaria,Contact eczema,Scabies,Psoriasis,c,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-116-07-A,What is the primary step in the decision tree for the aetiological diagnosis of pruritus?,Identify and confirm the underlying skin condition,Determine if the patient has a food allergy,Assess the patient's overall health status,Consult with a dermatologist,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-116-01-A,What does 'sinus materia pruritus' refer to?,A sensation that occurs when you touch a specific part of your body,A feeling of itchiness in the air,A type of skin condition that causes itching,A medical term for 'feeling good',a,batch1,"{ ""answer_option"" : ""A"" }",a
OIC-073-02-A,What distinguishes psychotherapy from mere conversation?,A specific diagnosis,A therapist's personal opinion,A brief phone call,Mere conversation with a friend or family member,a,batch1,"{ ""answer_option"" : ""A""}",a
OIC-073-04-A,What is the primary goal of Cognitive Behavioural Therapies?,To identify and change negative thought patterns,To eliminate emotional distress,To develop new coping strategies,To treat physical illnesses,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-073-08-B,What is the primary goal of Cognitive Remediation in psychotherapy?,Improve cognitive function,Reduce symptoms of a disorder,Increase motivation to change behavior,Enhance creativity,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-073-05-B,What is a common principle among all psychotherapies?,Therapeutic technique using psychic processes,A specific set of techniques for treating anxiety disorders,The use of hypnosis in therapy sessions,A focus on physical health as the primary treatment goal,a,batch1,"{ ""answer_option"" : ""A"" }",a
OIC-073-09-B,What is the primary indication for Cognitive-Behavioural Therapy (CBT)?,All psychiatric disorders,Sleep disorders,Substance use disorders,Chronic pain,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-073-03-B,Who can be a psychotherapist?,Clinical psychologist,Non-clinician psychologist,Psychoanalyst,Psychiatrist,d,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-073-06-B,What is the primary goal of supportive psychotherapy?,To provide a safe space for patients to express their feelings,To help patients develop coping skills,To enable patients to confront traumatic memories,To increase patient's self-esteem,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-073-07-B,What is the primary goal of cognitive-behavioural therapy?,To change thoughts to improve mood,To change emotions to improve behaviour,To understand and accept thoughts before acting,To change behaviours to improve mood,c,batch1,"{ ""answer_option"" : ""a""}",a
OIC-300-12-A,What is a common symptom of cervical tumors?,Abnormal vaginal discharge,Abnormal menstrual bleeding,Hydrorhea,Pyorrhoea,b,batch1,"{ ""answer_option"" : ""A""}",a
OIC-300-04-A,What is the recommended age range for Gardasil 9 vaccination in France?,11-14,15-19,10-12,20-24,b,batch1,"{ ""answer_option"": ""A"" }",a
OIC-300-02-B,What is a common co-factor for HPV infection that can increase the risk of developing cervical cancer?,Smoking,Immunosuppression,High number of pregnancies,Long-term use of oral contraceptives,b,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-300-09-B,What percentage of endometrial cancer cases are diagnosed by age 50?,40%,60%,100%,80%,b,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-300-06-A,What is the typical symptom of cervical cancer in its early stages?,Abnormal genital bleeding,Spontaneous metrorrhagia,Leucorrhoea,Asthenia,a,batch1,"{ ""answer_option"" : ""A"" }",a
OIC-300-14-B,What is the typical thickness of the endometrial mucosa in a patient with uterine body tumours?,4 mm,8 mm,10 mm,12 mm,b,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-300-01-B,What percentage of cervical cancer cases worldwide are attributed to cervical cancer in France?,4.3%,6.1%,7.5%,11.9%,c,batch1,"{ ""answer_option"" : ""A"" }",a
OIC-300-07-A,What is a characteristic feature of cervical cancer in asymptomatic women?,Budding forms,"Ulcerated, irregular forms",A small red area,The cervix appears normal or has only a small red area,a,batch1,"{ ""answer_option"" : ""A"" }",a
OIC-300-13-A,What is a characteristic feature of endometrial cancer that can be assessed during a speculum examination?,"A large, firm uterus","A small, soft uterus with increased volume",The presence of cervical involvement or cervical cancer,The absence of bleeding from the uterine cavity,b,batch1,"{ ""answer_option"" : ""A"" }",a
OIC-300-11-B,What are the two most common histological types of endometrial cancer?,Adenocarcinoma type 3,Endometrioid adenocarcinoma,Serous papillary carcinoma,Clear cell adenocarcinoma,b,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-300-05-A,What is the recommended age for a Pap smear to be performed?,25,30,35,40,b,batch1,"{ ""answer_option"" : ""A"" }",a
OIC-300-08-B,What is the main purpose of a pre-therapeutic pelvic MRI in cervical cancer?,To assess tumor volume and extension beyond the cervix,To check for lymph node involvement,To examine the rectal or bladder extension,To confirm the diagnosis of malignant tumours on surgical specimen/biopsy,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-300-03-B,What is the main histological type of cervical cancer?,Squamous cell carcinoma,Neuroendocrine tumors,HPV-independent adenocarcinoma,Lymphomas,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-300-10-A,What is the main cause of endometrial cancer?,Estrogen treatment alone,Tamoxifen treatment,Obesity (android type),Late menopause with prolonged perimenopausal period,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-068-03-B,What is the primary risk factor for behavioral disorders in children and adolescents?,Family aggregation,Cognitive factors,Environmental Factors,Perinatal Factors,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-068-04-A,What is the main difference between Oppositional Defiant Disorder (ODD) and Conduct Disorder (CD)?,Both ODD and CD are characterized by a lack of empathy towards others.,"Conduct Disorder involves more severe aggression, while Oppositional Defiant Disorder does not.","Oppositional Defiant Disorder is often diagnosed in children under the age of 5, whereas Conduct Disorder is typically diagnosed in older children and adolescents.",Both ODD and CD are considered to be on a spectrum of disorders.,c,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-068-02-A,What is the main difference between oppositional defiant disorder and conduct disorder?,Duration,Severity,Age,Type of Psychopathology,a,batch1,"{ ""answer_option"" : ""A""}",a
OIC-068-01-A,What is one characteristic that is typically associated with normal adolescence?,Puberty,Experimentation and risky choices,Emotional hypersensitivity,Differential maturation of the central nervous system (cortico-limbic asynchrony),a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-237-02-A,What is the main difference between a ventricular tachycardia and an atrial fibrillation?,"Ventricular tachycardia has a wide QRS complex, while atrial fibrillation does not","Atrial fibrillation can be caused by underlying heart disease, whereas ventricular tachycardia is usually associated with poor haemodynamic tolerance",Both conditions are characterized by fine QRS tachycardia and poor clinical tolerance,"Ventricular tachycardia is typically linked to a family history of sudden death, while atrial fibrillation is not",b,batch1,"{ ""answer_option"" : ""B""}",b
OIC-237-07-A,What is the typical presentation of a junctional tachycardia?,Palpitations known as 'Bouvere's disease',Atrial fibrillation,Ventricular supraventricular tachycardia (SVT),Junctional ventricular escape rhythm,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-237-09-B,What is a characteristic feature of Cardiac Neurosis in patients with palpitations?,A normal ECG,An abnormal ECG,Depression,Panic Attack,a,batch1,"{ ""answer_option"" : ""a""}",a
OIC-237-05-A,What is the main difference between an atrial and ventricular extrasystole?,Atrial,Ventricular,Junctional,None of the above,b,batch1,"{ ""answer_option"" : ""A"" }",a
OIC-237-06-A,What is a physiological cause of adaptive sinus tachycardia?,Pregnancy,Hyperthyroidism,Acute pulmonary embolism,Inappropriate sinus tachycardia,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-237-04-B,What should be done in cases of frequent palpitations (>1/week)?,A Holter ECG with a recording time of between 24 and 96 hours,A long-term ambulatory ECG (7 to 21 days),A stress test during exercise,None of the above,a,batch1,"{ ""answer_option"" : ""A"" }",a
OIC-237-01-A,What is a characteristic of palpitations?,A sensation that the heart is beating too slowly,A sensation that the heart is beating too hard or irregularly,A sensation that the heart is not feeling well at all,A sensation that the heart is being squeezed by an invisible force,b,batch1,"{ ""answer_option"" : ""B""}",b
OIC-237-08-B,What is the characteristic ECG finding in Wolff-Parkinson-White syndrome?,Short PR interval,Wide QRS complex,Prolonged PR interval,No change in QRS morphology,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-237-03-A,What is the main difference between Percritical and Inter-Critical ECG recordings?,Inter-Critical,Percritical,Both are used for diagnosing palpitations,Holter ECG,b,batch1,"{ ""answer_option"" : ""A"" }",a
OIC-101-05-A,What is the most common cause of Peripheral Facial Paralysis (PFP)?,Frigore,Head Trauma,Diabetes,HIV Infection,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-101-07-A,What should be done to treat facial paralysis with frigidity within the first 72 hours?,Prescription of oral corticosteroids (1 mg/kg/d) for 7-10 days,Immediate application of heat packs to reduce pain and swelling,Intravenous injection of epinephrine to stimulate facial muscles,Administration of anticholinergic medication to relax the facial muscles,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-101-02-A,What is characteristic of peripheral facial paralysis?,The nasolabial fold is obliterated.,The labial commissure falls away.,The mouth is drawn to the healthy side when smiling.,Automatic-voluntary dissociation is reversed.,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-101-08-B,What is a common outcome for facial paralysis?,Recovery begins within 1 month,Severe persistent deficit,Abnormal movements in the unaffected side of the face,Muscular weakness and sensory deficits,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-101-06-A,What is the primary mode of onset for facial paralysis?,In the morning on waking,After exposure to cold (travel),Immediately after a meal,During exercise or physical activity,b,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-101-10-A,What is the primary indication for cerebral imaging in Peripheral Facial Paralysis?,Brain MRI,Cerebral Scan,Other Imaging,Cervical CT/MRI with injection,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-101-01-B,What is the main difference between a facial paralysis and a muscular weakness in one hemiface?,Muscular weakness,Sensory and/or motor neurological deficit,Palpebral anomalies,Facial paralysis,b,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-210-04-B,What is the most common cause of secondary interstitial lung disease?,Infectious,Cardiovascular,Medications,Tumor,b,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-210-03-B,What is the primary characteristic of hypersensitivity pneumonitis (HPP) in terms of its clinical presentation?,A sudden onset of symptoms,Nonspecific cough and shortness of breath,Squeaks on auscultation,Pulmonary fibrosis with ground-glass opacification and centrilobular micronodules on CT scan,c,batch1,"{ ""answer_option"" : ""B"" }",b
OIC-210-09-B,What is a common test to check for pneumocystis in patients with diffuse interstitial lung disease?,Blood cultures,Nasopharyngeal swab (influenza),Sputum or BAL,Therapeutic diuretic test,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-210-01-A,What is the main category of Diffuse Interstitial Lung Disease (DIP)?,Chronic Obstructive Pulmonary Disease (COPD),Pulmonary Embolism,Asthma,Acute Respiratory Distress Syndrome (ARDS),d,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-210-02-B,What is a characteristic feature of silicosis?,Micronodular interstitial anomalies,Centrilobular micronodules and branching opacities,Ground-glass opacities only,Honeycomb images only,a,batch1,"{ ""answer_option"" : ""A""}",a
OIC-210-08-B,What is the primary purpose of performing Respiratory Function Tests (RFTs) in patients with Diffuse Interstitial Lung Disease (DILD)?,To assess the severity of DILD symptoms,To evaluate the effectiveness of corticosteroid therapy for sarcoidosis,To monitor the natural course of DILD and provide information on potential relapse,To diagnose a possible relapse in patients with IPF,c,batch1,"{ ""answer_option"" : ""a""}",a
OIC-210-07-B,What is the primary goal of a thorough clinical examination for diffuse interstitial lung disease?,To identify systemic diseases such as connective tissue disease or vasculitis,To assess the patient's nutritional status and dietary restrictions,To evaluate the patient's mental health and emotional well-being,To determine if the patient has any allergies that may be contributing to their symptoms,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-210-05-B,What is the primary indication for imaging examinations in the course of Diffuse Interstitial Lung Disease (DIP)?,Diagnostic doubt,Poorly defined abnormalities on chest X-ray,Thoracic CT scan,Subacute or chronic PID,c,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-015-03-B,What is the purpose of the 72-hour CM (Certificat médical) for psychiatric patients?,To ensure that the patient has a medical diagnosis,To allow the psychiatrist to make an emergency decision without needing consent from the patient or their family,To provide additional time for the patient to receive treatment before being discharged,To enable the patient to be transferred to another hospital without needing a new 72-hour CM,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-015-02-A,What are the main indications for psychiatric hospitalization without consent?,Mental disorders that require immediate care with medical supervision,Mental disorders that make consent impossible,Mental disorders that endanger public order or safety,Mental disorders that can be treated in a non-hospital setting without medical supervision,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-015-01-B,What is the main purpose of psychiatric care without consent?,To provide immediate relief from mental distress,To treat patients who are not in need of medical attention,To protect the rights and freedoms of patients,To ensure compliance with laws and regulations,c,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-015-04-B,What is the purpose of the provisional placement order (OPP)?,To ensure the minor's safety,To provide financial assistance to the minor,To allow the minor to live with a family member without parental consent,To punish the minor for misbehaving,c,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-015-05-A,What is the primary purpose of referring a minor to psychiatric care without consent?,To address immediate safety concerns,To ensure proper education and development,To provide specialized treatment for mental disorders,To delay necessary medical attention,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-015-06-B,What is the maximum period for renewing an Order for Psychiatric Placement (OPP)?,One month,Three months,Two years,15 days,b,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-051-03-A,What is the primary cause of isolated primary enuresis?,Urinary tract infection,Bladder dysfunction,Inadequate hydration,Behavioral factors,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-051-01-A,What is a common cause of urinary incontinence in girls?,Vaginal micturition,Isolated urinary incontinence with laughter,Stress incontinence,Inadequate bladder training,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-051-06-A,What is the correct definition of isolated or mono-symptomatic primary enuresis?,No other symptoms affecting the lower urinary tract,A condition where the child has a normal bladder capacity and no nocturnal urine volume,A condition where the child has a low bladder capacity and is unable to hold urine for more than 30 minutes,A condition where the child has a high bladder capacity and can hold urine for over an hour,a,batch1,"{ ""answer_option"" : ""A"" }",a
OIC-051-05-B,What is a common symptom of nocturnal enuresis in children?,Increased bladder capacity,Nighttime bedwetting,Difficulty controlling bowel movements,Sleepwalking,b,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-051-02-B,What is the primary purpose of a urinary debimetry test in children with micturition disorders?,To exclude low urinary infection,To measure post-micturition residue,To diagnose neurological bladder problems,To assess constipation and fecal leakage,b,batch1,"{ ""answer_option"" : ""a"" }",a
