question,cop,opa,opb,opc,opd,subject_name,id,prediction
Charlie chaplin gait is seen in -,B,Congenial coxa vara,Tibial torsion,DDH,Genu valgus,Orthopaedics,225cd591-bae7-4c8f-8721-5dcbd91f90b6,C
Delusion of Nihilism and Early morning insomnia are characteristic features of,B,Mania,Major depression,Personality disorder,Personality disorder,Psychiatry,a3dc06df-43ce-483d-9c2f-c62817550fd6,B
"A patient selected for surgery induced with thiopental i.v. through one of the antecubital veins, complains of severe pain of whole hand. What should be the next line of management in this patient?",D,Give I.V. Ketamine through same needle,Give I.V. propofol through same needle,Leave it alone,Give I.V. lignocaine through same needle,Anaesthesia,ece65425-0c40-410b-b916-e66661e6199d,D
Floating teeth is seen in:,A,Hyperparathyroidism,Hypoparathyroidism,Rickets,Scurvy,Radiology,5776a267-9f19-4e60-b4ab-5b35aea0c8b2,A
Least toxic organiophosphorus compound is:,C,DDT,Paris green,Malathion,Parathion,Social & Preventive Medicine,c3e08ff6-6037-4f7d-82ac-476d75626ddb,C
Local anaesthesia causing methemoglobinemia ?,B,Procaine,Prilocaine,Etodicaine,Ropivacaine,Anaesthesia,83d6ef98-6b36-41df-a25e-4eacc8a16cd1,B
Glucose diffusion in RBC by -,A,GLUT 1,GLUT 2,GLUT 3,GLUT 4,Physiology,7f4097ce-3414-4b0f-93d2-9e04fedbb5f0,A
"As per the WHO, H1NI influenza pandemic is in which of the phase descriptions?",D,phase 3,phase 4,phase 5,phase 6,Social & Preventive Medicine,51ed9734-7b3f-4f07-b98c-f25b10293e7a,D
Superficial paial thickness burn is caused due to involvement of:,B,Epidermis,Papillary dermis,Reticular dermis,Dermis,Surgery,a72ce022-ee1b-4498-9274-7d556ff7a752,B
First chemical barrier encountered by microorganism for common exposed sites-,B,Lysozyme,Acidic pH,Skin,Lactose,Microbiology,0c17c2f7-bf74-4deb-879a-d05075ff06e3,B
Pityriasis versicolor is caused by-,C,E. floccosum,M. gypseum,M. furfur,T. tonsurans,Microbiology,07950cce-6d72-4405-82ba-5ba894190ae5,C
Swan-neck deformity is -,B,Flexion of Metacarpophalangeal joint and extension at interphalangeal joint,Extension at Proximal interphalangeal joint and flexion at Distal interphalangeal joint,Flexion at proximal interphalangeal joint and extension at distal interphalangeal joint,Extension at Metacarpophalangeal joint and flexion at interphalangeal joint,Orthopaedics,26bc0c46-4691-4bfb-b7a7-b7ff1e2fd8f8,B
Nocturnal Enuresis is occurrence of involuntary voiding at night in a child more than,D,2 1/2 yrs,3 1/2 yrs,4 yrs,5 yrs,Pediatrics,0f8ae024-14f2-48c4-9361-621b728215e5,D
10 year old chid has violaceous papule and pterygium of nails. The diagnosis is,D,Psoriasis,Pemphigus,Pemphigoid,Lichen Planus,Skin,0b95714d-97bb-46ee-bb5b-2239e65a4556,D
Most common soft tissue sarcoma in children is,C,Liposarcoma,Myosarcoma,Rhabdomyosarcoma,Sacro  -  occygeal teratoma,Pediatrics,1b627fb1-54f4-46c9-93b5-0d08d9ca15c3,C
A 20 years old nulliparous women is on oral contraceptives pills. She is currently diagnosed as having pulmonary tuberculosis. Which anti-tubercular drug decreases the effect of OCP,D,INH,Pyrazinamide,Ethambutol,Rifampicin,Gynaecology & Obstetrics,339e8ba7-6b74-497b-96ec-3dc4aced515a,D
Following urine finding is seen in which condition?,C,UTI,Glomerulonephritis,ARF,CRF,Medicine,77bee54b-f133-4884-b1f7-dce1c9d1fea7,B
Most sensitive investigation of pancreatic carcinoma is:,D,Angiography,ERCP,Ultrasound,CT scan,Radiology,56c65373-fead-4e69-82f5-15c94e11093e,D
"36 year old Santhosh, fights with his uncle saying that he is not his uncle. Some stranger has come in disguise in the form of his uncle to steal his property. Diagnosis:",A,Capgrass syndrome,Fregoli syndrome,Cotard syndrome,Alport syndrome,Psychiatry,59d7cbfd-0d52-4456-9359-f95c7a262406,A
Typical lesion in hard chancre is:,A,Painless and indurated,Painful and indurated,Painless and non-indurated,Painful and non-indurated,Skin,81d67eb5-dee2-43dc-8a4c-f50e857ce343,A
Prevention of emergence of risk factor is,A,Primordial prevention,Primary prevention,Secondary prevention,Teiary prevention,Social & Preventive Medicine,910989f3-2d65-43fc-9ee9-9a68458b7bf7,A
"A 3-year-old boy is brought by his mother because he had a high fever for the past week. Physical examination reveals bilateral injected conjunctivae, palmar erythema, oral mucositis, cervical lymphadenopathy, and solar erythema. What is the most likely diagnosis?",C,Erysipelas,Scarlet fever,Mucocutaneous lymph node syndrome,Meningococcemia,Dental,906e1883-20a9-4c6c-8470-34466f8e49d4,C
Molecular classification of breast cancer is based on:,D,Serum hormone levels,Expression of hormone receptors (ER/PR),In-vitro response to chemotherapeutic agents,Gene expression profiling,Surgery,2d2145b0-4618-4534-82b8-3340ebbc8916,D
Typhoid revaccination is recommended very ___ years in endemic area -,B,1,3,5,10,Social & Preventive Medicine,bfbad5c8-7f2e-4c8e-a2e9-70c6e23ab8bd,C
Most non polar Amino Acid is,A,Leucine,Glycine,Arginine,Lysine,Biochemistry,eb4c75a0-6d8b-4f18-9a1a-44aa2e3a13d0,A
A 24 years old (middle aged) female has flaccid bullae in the skin and persistent painful oral erosions (palatal & vestibular lesions in buccal mucosa). Histopathology shows intraepidermal acantholytic blister. The most likely diagnosis is,C,Bullous Pemphigoid.,Erythema multiforme,Pemphigus vulgaris.,Dermatitis herpetiformis.,Skin,0335436e-41c6-4cb2-a534-789b181de793,C
"A newborn infant has multiple hemorrhagic, cutaneous lesions and does not respond to sound stimuli. Head CT scan shows periventricular calcifications. Which of the following infectious agents is the most likely cause of this child's presentation?",A,Cytomegalovirus,Herpes simplex,Rubella,Syphilis,Microbiology,b70a0a9f-891f-48fb-9f0d-792675f59f7b,A
Most common benign tumor of bone?,B,Osteoma,Osteochondroma,Simple bone cyst,Osteoid osteoma,Orthopaedics,93c29499-4fff-4ea4-9149-9da9f1c99822,B
"With normal cardiac function, a10 mm Hg change in which of the following pressure would have a greatest effect on cardiac output",D,Pressure in carotid aery,Pressure in the pulmonary aery,aoic pressure,Right atrial pressure,Physiology,07487aa9-73be-41e4-ad75-86876c19a101,D
Type 2 pattern of etched enamel is also known as:,C,Honeycomb pattern,Soap bubble pattern,Cobble stone pattern,Pyramid pattern,Dental,42fe3ac7-a2f7-4da8-9237-410d0d4f6e1a,A
What is another name for buccal coitus -,B,Buggery,Sin of Gomorrah,Cunnilingus,Fetishism,Forensic Medicine,1a9f412b-62f1-4251-ad7b-95f35a9c2b1b,C
Most common hormone deficiency seen after intracranial radiation therapy ?,D,Prolactin,Gonadotropins,ACTH,Growth hormone,Radiology,3a04af2f-91b6-40ac-b429-f3879c7df0e9,D
Sustained severe hypertension in children is most commonly suggestive of –,C,Coarctation of aorta,Pheochromocytoma,Renal parenchymatous disease,Drug induced,Pediatrics,e5d1a55a-bb6b-4285-bd60-eb9d8b4cb187,C
A most common cause of tarsal tunnel syndrome -,D,Osteoarthritis,Ankylosing spondylitis,Psoriatic arthritis,Rheumatoid arthritis,Orthopaedics,8258b5d2-8fae-41f7-9997-be814a4276ad,D
Content of cobblestone in vernal conjunctivitis is?,A,Eosinophils,Basophills,Lymphocytes,Histiocytes,Ophthalmology,d02c3946-fdfd-477d-9624-7b51fffe9a50,A
Best contraceptive for newly married couples,C,Barrier method,IUCD,Oral contraceptive pill,Natural methods,Social & Preventive Medicine,cff18034-99ea-46f9-a0ba-af625df6e9cf,A
Which of the following does not contribute to Digoxin toxicity:,A,Hyperkalemia,Hypercalcemia,Renal failure,Hypomagnesemia,Pharmacology,c5cbf272-199c-4c38-9175-27036bf250f3,A
"Sudden headache with LOC in patient with renal cysts, intracranial bleed SAH (berry aneurysm). Diagnosis is",A,ADPKD,Haemangioma of liver,Meningioma,Head injury,Surgery,0454e5b3-3809-49b9-a938-01a2c54491d9,A
Which one of the procedure involves using glaucoma drainage device,D,Viscocanalostomy,Trabeculectomy,Deep sclerectomy,Seton operation,Ophthalmology,72a22398-cfae-4f61-82eb-58c46d5c80fa,D
A 28 years old woman having limited cutaneous scleroderma for the last 10 years complains of shoness of breath for last one month. Her pulmonary function tests (PFT) are a following: PFT Observed Predicted FVC 2.63 2.82 FEV1 88% 80% DLCO 5.26 16.3 Which of the following is the most probable diagnosis in this patient?,A,Interstitial lung disease,Pulmonary aery hypeension,Congestive hea failure,Bronchiectasis,Surgery,3956350a-59a3-4440-a657-a28e9767670d,B
Cotton dust is associated w ith-,A,Byssinosis,Asbestosis,Bagassosis,Silicosis,Medicine,39229fa9-bdad-43bd-b8fa-4636d0515fe6,A
Osteosarcoma is differentiated from myositis ossificans by radiology by:,D,Location,Absence of osteomyelitic changes,Shape of swelling,Peripheral field of differentiation,Radiology,cebb941e-da33-41d2-ace9-8245b68ca62e,D
SARS is caused by an organism having:,A,SS RNA,SS DNA,DS DNA,SS DNA,Microbiology,436c75ec-0e3d-4123-aef1-a9be61fed54b,A
Apple jelly nodules on diascopy shown below are seen in?,B,Scrofuloderma,Lupus vulgaris,Lichen scrofulosorum,Tuberculosis verrucosa cutis,Dental,2223dfc1-4a77-45c5-a58a-5682ab924839,B
A fetomaternal transfusion of more than 30 ml has been found in what percentage of women at delivery:,C,Less than 1%,5%,10%,15%,Gynaecology & Obstetrics,27b5c098-90f5-4a5d-8749-582f5c4975bf,A
Cause of blindness in trachoma ?,A,Scarring,Pannus,Chronic dacrocystitis,Entropion,Ophthalmology,3e66f2b4-1e52-4169-8536-fa3336e2705e,A
Panic attack is: September 2005,A,Acute anxiety,Chronic anxiety,Acute depression,Chronic depression,Psychiatry,732ff5f9-29bd-44bc-9e62-7170632e2d95,A
Which of the following takes place in low insulin/glucagon ratio?,C,Cholesterol synthesis,Glycogen synthesis,Ketogenesis,Fatty acid synthesis,Biochemistry,801c13b0-90a6-45a8-852b-6e72191fc6ee,C
What is the term given to a condition with an extra layer of cilia posterior to grey line?,C,Tylosis,Madarosis,Distichiasis,Trichiasis,Ophthalmology,fd9c3e68-2a5c-48c0-9be7-48ae8dd458f6,C
A 45 year old male presents to OPD with with acute abdominal pain . On examination it seems to have spread to retroperitoneal structures . Which of the following is the most likely to get affected,D,Stomach,Transverse colon,Jejunum,Descending colon,Anatomy,42408510-2b00-460f-8efd-3ddfe848609b,D
Softening of water is recommended when hardness exceeds,C,6mEQ/L,4mEG/L,3meq/l,5mEQ/L,Social & Preventive Medicine,6a188b60-cad3-417c-a863-a64a396471bb,A
A 36 year old man shows positive Rinne test. His condition is:,D,Wax in ear,Chronic suppurative otitis media,Otomycosis,Normal,ENT,b20d4530-aa18-4fc2-8a44-256e1ac2e30c,D
When do you operate for prolapsed disc -,C,Busy executive needs quick surgery,Only with weakness no pain,Severe pain interfering with activity and not relieved by rest and treatment of 8 weeks,Patient of P1D with difficulty in ambulation,Orthopaedics,cc73e003-1832-4245-b174-24219a64893f,C
Cerebroside contains which sugar moiety,C,Ribose,Fructose,Galactose,Glucose,Biochemistry,49d485d2-aa75-4bbf-a11b-e17762b90397,C
Sensations carried by lateral spinothalamic tract-,C,Crude touch,Fine touch,Pain & temperature,Proprioception,Physiology,3cc1a674-82e6-49f5-815e-b02a99eba5a4,C
Parasites causing lung infestation are -a) H. nanab) Paragonimus westermaniic) Taenia saginatad) E. granulosuse) E. multilocularis,B,c,bd,ab,ac,Microbiology,f9f2bbfc-d62c-40e7-8a0d-05233baaec60,B
Oral medication used in the treatment of scabies.,D,Albendazole,Metronidazole,Ketoconazole,Ivermectin,Dental,68856c0c-5d8e-4177-abcf-4668132309f8,D
The following X-ray was taken of a 50-year-old female with chronic backache. What is the most likely diagnosis?,C,Spondylolysis,Spondylosis,Spondylolisthesis,Prolapsed inter-vertebral disc,Orthopaedics,e5fc247c-0693-42cc-8162-e58810dde526,B
Sexual pleasure obtained by touching others is known as?,A,Frotteurism,Exhibitionism,Voyeurism,Eonism,Forensic Medicine,73e5141b-73bc-4cd1-9a5c-d77b137ce4cc,A
A newborn presented severe respiratory distress. On examination he was found to have scaphoid abdomen and absent breath sounds on left side of chest. The most likely diagnosis is:,C,Transient tachypnea of newborn,Congenital adenomatoid lung disease,Congenital Diaphragmatic hernia,Sequestration of lung,Pediatrics,a53ebb3e-b4d7-4d2c-93bb-018617341800,C
Capnography is used for assessment of -,C,Oxygen saturation of blood,Amount of C02 transported in blood,Ventilation of lung after intubation,Myocardial perfusion,Anaesthesia,0ace93d0-3049-41cd-902e-0dde2f39adda,C
Ovarian function after hysterectomy :,D,Increases,Decreases within 2 - 3 years,Remains the same,Decreases after 5 years,Gynaecology & Obstetrics,77966dfe-e5cf-4f06-9f30-46e0ca2c1625,B
The commonest cancer of oral cavity is,D,Adenocarcinoma,Melanoma,Sarcoma,Squaous cell carcinoma,Surgery,01c76cc9-44a5-47c4-934f-31b672b30f79,D
Resting membrane potential is generated by,B,Na+,K+,Cl-,CA2+,Physiology,cc30d810-5706-4736-86cd-20db23be57ac,B
"After first meiotic division, the primary oocyte remains arrested in",A,Diplotene stage,Pachytene stage,Metaphase,Telophase,Physiology,b9e726fe-cac5-4049-9cf0-d15efe3f45ce,A
The cough response caused while cleaning the ear canal is mediated by stimulation of-,C,The V cranial nerve,Innervation of external ear canal by C1 and C2,The X cranial nerve,Branches of the VII cranial nerve,ENT,9d7a394f-36ee-49bd-b4cf-89155e5557bc,C
"pH = 7.30, pCO2 = 38, HCO3 = 18 signifies:",D,Metabolic acidosis with compensatory respiratory alkalosis,Respiratory acidosis with compensatory metabolic alkalosis,Respiratory alkalosis with compensatory metabolic acidosis,Metabolic acidosis with respiratory acidosis,Medicine,538a4261-1da4-45c5-9dab-30e56c302cac,A
Which one of the following is a cause of nasal obstruction in Atrophic Rhinitis:,D,Secretions,Deviated nasal septum,Polyp,Crusting,ENT,5cee7972-8f6c-447f-a82a-058948e462ed,D
Tom Smith arthritis is:,C,TB arthritis of hip in adults,TB arthritis of hip in infancy,Septic arthritis of infant,Infection of congenital dislocation of hip,Orthopaedics,b0db7250-ba06-4b6f-b8af-92fb02cc1fde,B
Columellar tympanoplasty is,C,Type I,Type II,Type III,Type IV,ENT,99a27d0f-8070-4685-9ec5-b381c20a2858,C
Dissociative anaesthesia is produced by -,A,Ketamine,Etomidate,Propofol,Thiopentone,Anaesthesia,0bb82be0-5758-47bf-a946-80384f92417e,A
"A child presents with acute diarrhea with signs of dehydration; On investigation, Na+ 125 mEq/L, K+ 3 meq/L, HCO3- 16 mEq/L and pH is 7.23. IV Fluid to be given is?",A,Normal saline,3% saline,N/2 saline + 10% dextrose,N/3 saline + 5% dextrose,Pediatrics,be987604-79fd-4499-b753-4eac67f3ab2c,A
Fluid levels are not visible in -,A,Meconeum ileus,Intussusception,Colon pouch,Duodenal obstruction,Surgery,4e702680-fb68-4328-a0c0-3c071931c65f,A
Which of the following condition is associated with increased AFP levels?,D,Down's syndrome,Molar pregnancy,Overestimated gestational age,Congenital nephrosis,Gynaecology & Obstetrics,fda8f78d-648d-4306-a9fc-4ab0f9d394e4,D
Ca cervix IIIB is treatment of choice is-,C,Radiotherapy,Chemotherapy,Chemoradiation,Surgery,Gynaecology & Obstetrics,10df41ed-3608-4d5d-96e0-dfe01e04c9ab,C
Michalis Gutmann bodies are seen in,B,Xanthogranulomatous pyelonephritis,Malakoplakia,Nail patella syndrome,Chronic pyelonephritis,Pathology,2f79d57e-54b7-49f5-9b5e-ffabe36c3103,B
Which is the whitest colour in vita shade guide?,C,A1,A2,B1,B2,Dental,8ea1fc81-152d-4511-95fc-20460ea7df8d,C
DIC is seen in which AML-,C,M1,M2,M3,M6,Pathology,2354462c-7d5d-48c9-abe1-5f201a16de9e,C
Immune granulomas are not seen in -,C,Tuberculosis,Syphilis,Silicosis,Berryliosis,Pathology,d20a564a-82c5-4782-b027-75f88d763a60,B
Diameter of head mirror in ENT is,C,20 cm,22 cm,10 cm,26 cm,ENT,390376da-ee0a-48ed-8fa1-4e176ab361b8,C
"A patient after giving inhalational anaestheia developed fulminant hepatitis, patient was exposed to same drug previously. Which is the drug?",A,Halothane,N20,Enflurane,Isoflurane,Anaesthesia,55d6fc3e-57fb-4b91-98c3-4e4b4f4ea3f1,A
Increased suicidal tendency is associated with alteration in the brain levels of:,B,Noradrenaline,Serotonin,Dopamine,GABA,Pharmacology,c0324689-8cda-43d5-bd4d-09bb4b6f5202,B
Trigone of bladder is derived from -,A,Mesonephric duct,Paramesonephric duct,Absorbed anal membrane,Mullerian duct,Anatomy,91f8efdd-2f19-4c65-ad49-ee720b607749,A
Endemic typhus is transmitted by ?,B,Louse,Fleac,Tick,Mite,Social & Preventive Medicine,42659f74-7bf1-4b75-ab01-fbc68ab8a337,B
Gluconeogensis affect A/E :,D,Lactate,Glycerol,Alanine,Growth hormone,Biochemistry,4accd279-bfd7-418d-b16e-8f8a7debf6fb,D
Aflatoxins are produced by:,A,Aspergillus flavus,Aspergillus niger,Aspergillus fumigatus,Candida,Microbiology,409f8722-8a0d-4231-8384-79e2f088806b,A
"In a case of primary melanoma of 1-2mm depth, margins of excision of surrounding normal skin should be -",C,0.5-1 cm,1 cm,1-2 cm,> 2cm,Skin,f2c84e7f-2430-4f6a-9f1e-5e8bc12ccdda,C
First trimester USG finding in Down syndrome?,B,Nuchal thickening,Nuchal translucency,Cardiac anomalies,GI anomalies,Pediatrics,f6103fcd-0018-4a28-be6f-2c6f13b62b29,B
Borderline personality refers is characterized by?,A,Unstable and intense interpersonal relationship,Violation of the rules,Grandiose,Attention seeking behavior,Psychiatry,f3ee9668-e8fb-4e47-a0c1-e83a98c8e031,A
"A 29-year-old woman complains of nervousness and muscle weakness of 6 months in duration. She is intolerant of heat and sweats excessively. She has lost 9 kg (20 lb pounds) over past 6 months, despite increased caloric intake. She frequently finds her hea racing and can feel it pounding in her chest. She also states that she has missed several menstrual periods over past few months. Physical examination reveals warm and moist skin and bulging eyes (exophthalmos). Laboratory studies will likely reveal which of the following endocrine abnormalities in this patient?",B,Anti-thyroid DNA antibodies,Anti-TSH receptor antibodies,Decreased uptake of radioactive iodine in the thyroid,Increased serum TSH,Pathology,916e4825-8ad7-4571-a466-7c112913409d,B
Commonest type of seizure in newborn/neonates,C,Clonic,Tonic,Subtle,Tonic-clonic,Medicine,635ed4bd-28c3-4589-8c3a-a1a79d72d0b2,C
Comedones are characteristics of -,A,Acne vulgaris,Acne rosasea,SLE,Adenoma sebaeceum,Skin,73ef0393-f076-4956-828f-852085a48031,A
A female patient has adenocarcinoma uterus along with sarcoma of uterus. It is known as -,C,Homologous sarcoma,Sarcoma uterus,Mixed mullerian carcinogenesis,Heterologous sarcoma,Gynaecology & Obstetrics,103afa52-5ca0-4c7a-9d53-6a72cb5258f1,C
"""Bone within a Bone"" appearance is seen in:",B,Osteogenesis imperfecta,Osteopetrosis,Scurvy,Rickets,Radiology,2d0062b4-bc93-48b2-a235-2df1815c4571,B
A 40-year-old woman presents with a 2-year history of erythematous papulopustular lesions on the convexities of the face. There is a background of erythema and telangiectasia. The most likely diagnosis in the patient is:,B,Acne vulgaris,Rosacea,Systemic lupus erythematosus,Polymorphic light eruption,Skin,6f857cff-194f-4960-9eff-956a8607427a,B
Albumin is exclusively synthesized by,A,Liver,Kidneys,Spleen,Skeletal muscle,Biochemistry,ee07f39f-36b9-4961-bd3e-d195b69e3686,A
In which country is Nasopharyngeal carcinoma most commonly found?,B,India,China,Pakistan,Japan,ENT,09e16734-ad29-4319-a560-8f4c9f59015f,B
Most effective agent to prevent motion sickness is?,D,Ephedrine,Nedocromil,Cyproheptidine,Hyoscine,Pharmacology,b6166b02-2e23-4575-9a7b-1b233419baf9,D
Vulval candidiasis is associated with :,C,Addison disease,Cushing disease,Diabetes mellitus,Acromegaly,Gynaecology & Obstetrics,b4e03298-75b8-4b10-99e5-65f69ede85a9,C
Oedipus complex seen in:,D,Girl 1 to 3 years,Girls 3 to 5 years,Boys 1 to 3 years,Boys 3 to 5 years,Psychiatry,7c4243d7-49b9-4e84-845d-b274899df3de,D
Area around umbilicus is supplied by this spinal nerve:,C,T8,T9,T10,T12,Anatomy,5456823e-52ee-4d43-94ca-dcbb8408d9b5,C
Bartholin's cyst is caused by:,C,Candida,Anaerobes,Gonococcus,Trichomonas,Gynaecology & Obstetrics,3e27a15a-7595-4d20-82e0-472c85182b26,B
"In the right middle ear pathology, Weber&;s test will be",C,Centralized,Normal,Lateralized to right side,Lateralized to left side,ENT,816055af-7780-4536-a99b-2461d0e40282,C
"In rural area, cattle sheds should be ..... away from the houses ?",D,5 feet,10 feet,20 feet,25 feet,Social & Preventive Medicine,e3180d90-06bb-44ca-b38e-e316963707a2,C
Safety muscle of tongue is?,A,Genioglossus,Palatoglossus,Styloglossus,Hyoglossus,Anatomy,89c1cb55-577a-44e2-aaa2-ed97061de7d5,A
"A young patients presented with loss of sensation in sole of foot with paralysis of medial side of plantar muscles of the foot, Most likely nerve involvement is",D,Common peroneal nerve,Deep peroneal nerve,Superficial peroneal nerve,Tibial nerve,Anatomy,5c2666a3-14d5-40f7-90b2-554a8cdfed47,D
Immune rejection in fetus is prevented by,A,HCG,HPL,Oestrogen,Progesterone,Physiology,5f82b086-a784-4762-8fc6-8a5ddf088723,D
Which of the following is the most frequent presentation of osteoporosis?,C,Weight loss,Bowing of legs,Veebral compression fracture,Low serum calcium level,Surgery,7d1732fa-316a-450a-ab3f-1d317079a92c,C
"A child presents with Hepatosplenomegaly, Abdominal distension, Jaundice, Anemia and Adrenal calcification. Which of the following is the Diagnosis ?",B,Adrenal hemorrhage,Wolman's disease,Pheochromocytoma,Addison's disaease,Pediatrics,a42f9f67-091e-4463-b533-4b3cb90c465e,B
The blister pack used in MDT of leprosy Is shown in PLATE. Which drug is not supplied in it?,D,Rifampacin,Clofazamine,Dapsone,Minocycline,Skin,cae52009-b70d-40a5-bb70-8df0d19f478d,D
Management of a newborn when Mother has active Tuberculosis & is taking ATT -,C,BCG + Rifampicin + INH + Breast Feeding,BCG + Isolation of baby,BCG + INH for 6 week + Breast Feeding,BCG + INH + withhold Breast Feeding,Pediatrics,ecb97325-6702-4437-bd05-f0bf06e3c378,C
Least common presentation of HCC,A,PUO,Mass,Jaundice,Weakness,Anatomy,37f40939-4a90-41fe-b32e-f17938e9a193,A
Vitamin D is synthesized by?,A,Keratinocytes,Granular cells,Melanocytes,Prickle cells,Dental,c121c0e6-ed7a-4abb-95eb-8fd9cee0063d,A
Which of the following is the ego-expansion of JSY?,D,Janani Sampoorna Yojana,Janani Samridhi Yojana,Janani Swarojgar Yojana,Janani Surakshan Yojana,Social & Preventive Medicine,583d4688-0d95-443c-a6c7-316aa33d07a1,D
Councilman bodies are seen in?,B,Hea failure,Acute viral hepatitis,Cirrhosis of liver,Wilson's disease,Pathology,70474dec-518c-41bf-a778-a4598d2397b0,B
Which antitubercular drug combination is safer in a patient who develops hepatitis white on ATT: March 2005,B,Streptomycin+Isoniazid,Streptomycin+Ethambutol,Ethambutol+Isoniazid,Ethambutol+Rifampicin,Pharmacology,8d1f7953-677c-4058-a3a9-babc1a916ec3,B
How many hours prior to ovulation does LH Surge occur?,C,6-8 hrs,10-16 hrs,18-24 hrs,More than 24 hrs,Gynaecology & Obstetrics,4f749ae6-f847-4e4b-a3d4-2ea793734263,C
Pseudomyxoma peritonei may occur as a consequence of which of these ovarian tumors?,D,Dermoid,Dysgerminoma,Serous cystadenocarcinoma,Mucinous cystadenocarcinoma,Gynaecology & Obstetrics,53bcf54c-fbc3-40d6-a7aa-2a7137d7c0e8,D
Soap bubble appearance is seen in,A,Giant cell tumour,Osteogenic sarcoma,Ewing's sarcoma,Osteoid osteoma,Orthopaedics,28b36871-f202-4652-b86a-4fbdca1113df,A
HbA2 is increased In -,C,Alfa-thalassemia,Iron deficiency anemia,Beta-thalassemia,Sickle cell trait,Medicine,e7beecdc-9d6b-41a1-baf3-50f9690bea33,C
Poosystemic shunt is not sent in,B,Liverpool,Spleen,Anorectum,Gastrointestinal Esophageal,Anatomy,d32ba19b-6cf3-4bff-b2a2-6824813748fe,A
Most effective drug against extracellular mycobacteria is:,B,Isoniazid,Rifampicin,Pyrazinamide,Ethambutol,Pharmacology,86a6604a-e3f6-4e8e-b3a9-0c7786c39cc1,B
Which bone is most commonly fractured in the arrow marked area?,B,Lunate,Scaphoid,Triquetral,Trapezoid,Anatomy,a008ec28-23b3-4e03-ad0e-c3a305cfc031,B
Thermoplasty is used in which condition?,B,COPD,Asthma,Bronchiectasis,Carcinoma lung,Medicine,23f75b1e-1ac5-4135-83b6-18abfab145d4,B
Why is the sensitivity of Mammography low in young females?,C,Because of less glandular tissue and more fat,Because of less fat content,Young breast have dense tissue,Young females are less cooperative,Radiology,1f8c924d-159f-4f17-8cce-16c99a8344f2,C
Luteal phase defect is best diagnosed by:,B,Serum progesterone levels,Endometrial biopsy,Basal body temperature,Ultrasonography,Gynaecology & Obstetrics,a008c3ad-ab65-4712-ba04-3093c41c4b52,B
Treatment of band shaped keratopathy: March 2011,C,BAL,Chlorhexidine,EDTA,Propamidine,Ophthalmology,3f1d884e-10b3-4cc5-b04c-a67a3b0288ea,C
One of the following is not a 5-HT receptor antagonist,B,Ketanserin,Lanreotide,Methysergide,Tropisetron,Pharmacology,2a5f5f51-690e-4e72-ad0b-eb6185c67d48,B
Which among the following organism is detected by 'hanging drop preparation'?,A,Trichomonas vaginalis,Gardnerella vaginalis,Candida albicans,Mobilincus,Gynaecology & Obstetrics,848eda7e-cf1e-477d-b354-125410c5f05c,A
Which of the following is not a test for syphilis: September 2011,B,VDRL,Frei test,TPHA,FTA-Abs,Skin,9e8cc432-6221-436b-9759-9450e1d154a1,B
The pathognomonic feature of classic alpo syndrome is:,A,Lenticonus and hematuria,Hematuria and sensorineural hearing loss,Sensorineural hearing loss and lenticonus,Hematuria and hyperextensibility of joints,Medicine,0bef0233-3204-4c53-b8f4-db8b9ebd8430,A
White polished rice causes deficiency of:,A,Thiamine,Tryptophan,Riboflavin,Protein,Social & Preventive Medicine,92fcb0b8-c8e2-4784-9293-d9b3ca6caead,A
The investigation of choice in a 55-year-old postmenopausal woman who has presented with postmenopausal bleeding is:,B,Pap smear,Fractional curettage,Transvaginal ultrasound (TVS),Ca-125 estimation,Gynaecology & Obstetrics,68b0d9a5-d140-417c-8515-e457bfedea57,C
"Diabetic retinopathy, most likely present with –",B,IDDM with 2 years duration,NIDDM with 2 years duration,Juvenile diabetes,Gestational diabetes,Ophthalmology,223433c3-593b-4a75-a48a-315a86798acf,A
First line of Rx of osteoporosis in postmenopausal women,B,Estrogen,Bisphosphonates,Raloxifene,Ullipsistal,Gynaecology & Obstetrics,9e167709-7f18-4e54-8330-562388fc58a5,B
91-96% of polio virus infection causes belongs to:,A,Sub clinical infection,Aboive polio,Non paralytic polio,Paralytic polio,Social & Preventive Medicine,aed1a2ee-485b-466d-abc2-8131f7aded99,A
Which of the following carries fast pain:,B,A-alfa,A-delta,B,C,Physiology,6edb9837-9382-4394-bbf4-f09ddd776f88,B
A segment of a eukaryotic gene that is not represented in the mature messenger RNA is known as,A,Intron,Exon,Plasmid,TATA box,Biochemistry,6eeff04b-382f-4126-9f59-e738e8cd394f,A
"Systoiic thrill in left 2nd or 3rd intercostal space is

seen in -",C,SubpulmonicVSD,PinkTOF,Pulmonary stenosis,Ebstein's anomaly,Medicine,44f63b28-581d-4d79-87d8-b3b252a11a9b,C
Most common type of cataract following radiation is –,A,Posterior subcapsular,Anterior subcapsular,Tear drop cataract,Diffuse cataract,Ophthalmology,f08aa6d6-f6e3-455c-9923-1bcec20b1b35,A
Acoustic neuroma commonly arises from:,A,Superior division of vestibular nerve,Inferior division of vestibular nerve,Cochlear nerve,VIIth nerve,ENT,ea47f7e8-d7b6-4c88-9c2d-c4de2b1c79ed,A
