id,rubric,question,option_a,option_b,option_c,option_d,correct_option
OIC-179-06-A,Definition,What is a common cause of gastrointestinal disorders linked to water and food?,Histamine syndrome,Allergic reactions to peanuts,Infections from E. coli bacteria,Toxic heavy metals in fish,a
OIC-030-01-B,Diagnosis,What is the primary reason for administering antibiotic prophylaxis or inadequate per-partum antibiotic therapy in newborns at risk of early bacterial neonatal infection?,To prevent mother-to-child transmission,To reduce the risk of spontaneous and unexplained prematurity,Because maternal fever > 38.0°C intrapartum or within 2 hours of delivery is a known risk factor for INBP,To treat existing neonatal GBS infection,c
OIC-030-04-B,Diagnosis,What is the definition of prematurity?,Birth before 37 weeks' amenorrhea,Birth after 37 weeks' amenorrhea,Birth at term (37-42 weeks),Birth after 42 weeks' amenorrhea,a
OIC-030-02-B,Diagnosis,What are the main criteria for diagnosing respiratory distress in a newborn?,A single symptom such as flapping of the wings of the nose,"Presence of one or more symptoms including polypnoea, signs of respiratory struggle, and cyanosis",Cyanosis alone without any other respiratory symptoms,Pauses in breathing only,b
OIC-030-03-B,Diagnosis,What is the primary definition of Intrauterine Growth Retardation (IUGR)?,A weight below the 5th percentile,"A weight below the 10th percentile, in isolation",A weight above the 50th percentile,A weight equal to or greater than the average birth weight,b
OIC-121-05-B,,What type of legal protection measure assists a person with a disability in carrying out their civil life?,Guardianship,Curatorship,Safeguard of justice measure,Legal representation,b
OIC-121-03-B,Management,What are three main methods that enable patients to develop skills to limit the consequences of their mental disorder?,Only Therapeutic Education,Only Psychotherapies,Only Cognitive Remediation,"Therapeutic Education, Psychotherapies, and Cognitive Remediation",d
OIC-121-02-B,,What is the primary goal of mental health care?,To alleviate symptoms and manage illness,To provide psychosocial rehabilitation techniques for recovery,To focus solely on medication treatment,To improve physical health only,b
OIC-121-01-A,Definition,What type of disability is characterized by a psychiatric disorder leading to alteration in cognitive abilities or biases interfering with social relations or daily activities?,Intellectual Disability,Psychological Disability,Physical Disability,Neurological Disability,b
OIC-121-04-B,Taking charge,What type of housing assistance can be provided to individuals with psychological disabilities?,Only therapeutic flats,"Therapeutic or community flats, social support services, and home visits",Sheltered employment and allowance for disabled adults,Mutual aid groups and peer support,b
OIC-020-12-B,Definition,What is the primary purpose of a hypothesis test in health research?,To determine whether a treatment has no effect on a population,To decide between two hypotheses: one that there is no effect (null hypothesis) and another that there is an effect (alternative hypothesis),To calculate the confidence interval of a study's results,To determine whether a sample is representative of the population,b
OIC-020-26-A,Definition,What is the primary characteristic of systematic error (bias)?,It increases with larger sample sizes.,It is independent of sample size and not due to chance.,It only affects descriptive studies.,It can be corrected at the time of analysis.,b
OIC-020-22-A,Definition,What is the primary purpose of calculating Absolute Risk Reduction (ARR) and Relative Risk Reduction (RRR)?,To determine the number of subjects needed to treat (NNT),To evaluate the proportion of variability explained by one variable in relation to another (r²),"To measure the risk associated with an exposure, taking into account the basic risk",To calculate the odds ratio and relative risk for a rare endpoint,c
OIC-020-03-A,Definition,What type of research is NOT regulated by the Jardé Law?,Research involving medicinal products,Non-interventional research (category 3 RIPH),Experiments in human and social sciences in health,All of the above,b
OIC-020-27-B,Definition,What type of bias occurs when the risk of bias differs according to the group studied?,Non-differential,Differential,Selection Bias,Classification Bias,b
OIC-020-19-B,Definition,"What type of study is characterized by selecting cases and controls from an existing cohort, without having to re-contact all the subjects in the initial cohort?",Nested Case-Control Study,Case-Cohort Study,Quasi-Experimental Study,Study on Grouped (Aggregated) Data,a
OIC-020-14-B,Definition,What does 'adjustment' refer to in statistical analysis?,A measure of association that takes into account confounding factors,A method for removing bias from a study's results,A type of data analysis that only considers one variable at a time,A way to compare the effects of different exposure factors on an outcome,a
OIC-020-13-B,Definition,What type of data are survival data?,Complete and continuous,Incomplete and censored,Binary and categorical,Quantitative and ordinal,b
OIC-020-18-A,Definition,What is a key characteristic of observational studies compared to experimental studies?,The researcher can modify the exposure factors.,The nature and level of the exposure factors to which the subjects are subjected are not modified by the researcher.,Only case-control studies involve retrospective collection of exposures.,Cross-sectional surveys only estimate quantitative indicators.,b
OIC-020-10-B,Definition,What are the possible outcomes for a probability model?,Unknown,Known but unpredictable,Random and uncertain,Certain,b
OIC-020-16-A,Definition,"In an analytical study, what is referred to as a risk factor?","The intervention (drug, device, etc.) in an experimental study",A factor associated with a higher probability of the presence or occurrence of the health phenomenon under study,A direct cause of a particular problem or illness,A factor that influences the state of health of populations,b
OIC-020-02-A,Definition,What is the primary purpose of a protocol in clinical research?,To modify the research methodology during the course of the study,To justify modifications to the research methodology during the course of the study,"To document the rationale, objectives, and methodology of the study in detail before its start",To produce a secondary result that is not relevant to the primary objective,c
OIC-020-24-A,Definition,What parameter most affects the power of a statistical test?,Sample size,Alpha risk,Difference to be detected,Variability of observations,a
OIC-020-20-A,Definition,What is prevalence?,The number of new cases of a disease in a population over a given time,The proportion of the total population that has a disease at a given time,The probability of an individual developing a disease within a specific timeframe,The rate of new cases per 100 people in a population,b
OIC-020-25-A,Definition,What determines the minimum number of subjects required in a study?,Only for descriptive studies,Only for analytical and experimental studies,"A priori calculation based on desired precision, power, alpha level, and clinical parameters",Randomly assigned by researchers,c
OIC-020-07-B,Definition,What is the primary goal of selecting a sample?,To obtain the most accurate results possible,To make the study as convenient and cost-effective as possible,To ensure that the sample is representative of the source population,To only include individuals who are easily accessible,c
OIC-020-32-B,Definition,What is the primary purpose of peer-reviewing in the publication process?,To expedite the publication process and increase visibility,To evaluate the quality and scientific integrity of manuscripts before publication,To provide a platform for researchers to share their findings with a wider audience without peer-review,To guarantee that all published articles are free from errors,b
OIC-020-09-B,Definition,What is the primary purpose of isolating data in health research methodology?,To identify the most clinically relevant criterion,To use a surrogate endpoint to improve feasibility at the cost of reduced clinical relevance,To assess the representativeness and potential selection biases of the sample,To evaluate the performance of diagnostic or screening tests,c
OIC-020-29-A,Definition,What does a p-value represent in a statistical test?,The probability that the true difference exists,The risk of falsely concluding there is no difference,The probability of observing a difference at least as large if there is no real difference,The level of confidence in the estimate of the parameter,c
OIC-020-05-B,Definition,What is the primary purpose of formulating research hypotheses?,To test a theory after collecting data,To estimate the power of a study and calculate the number of subjects required,To describe what is expected in terms of effect size,To formulate multiple objectives for a research project,b
OIC-020-11-B,Definition,What is the mode?,The most frequently found value in a set of values,The average of all values divided by their number,The difference between the third and first quartile,The square root of the variance,a
OIC-020-28-B,Definition,What does the term 'interaction factor' refer to in the context of health research?,A confounding variable that affects the relationship between an exposure and a health outcome.,"An effect modification that varies according to another factor, such as level or presence.",A statistical test used to determine if there is a significant difference in the association between two variables.,A type of confounding variable that only affects certain subgroups.,b
OIC-020-15-B,,What is a key consideration when handling health data in clinical research?,It can be shared freely without consent.,Health data must be anonymized before use.,The researcher's personal opinion on the data's sensitivity is sufficient protection.,Data protection laws only apply to public health records.,b
OIC-020-23-A,Definition,What type of study can estimate both Relative Risk (RR) and Odds Ratio (OR)?,Randomized Controlled Trial (RCT),Case-Control Study,Exposed/Unexposed Cohort Study,Both RCT and Case-Control Study,c
OIC-020-33-A,,What does the Fagan nomogram primarily indicate?,Pre-test probability that an individual is ill,Post-test probability that an individual is ill,Intrinsic performance of a test calculated from its sensitivity and specificity,Extrinsic properties of a test depend on the prevalence of the disease in the population studied,c
OIC-020-17-A,Definition,What does 'target population' refer to in health research methodology?,The population from which the study will be carried out,A subset of the source population,The population about which we have questions and want to obtain information,A sample used to extrapolate results,c
OIC-020-30-A,,What is the primary factor that determines the causal nature of a relationship between an exposure and a health phenomenon?,Statistical significance alone,The presence of Bradford Hill causality criteria,The existence of experimental studies,The level of evidence provided by the literature,b
OIC-020-01-A,Definition,What is the primary goal of health research?,To develop new treatments for diseases,To improve public health outcomes by developing actions likely to improve health,To advance scientific knowledge in specific areas such as cancer or infectious diseases,To identify potential new medicines and therapies,b
OIC-020-31-B,Definition,What is the primary focus of the Exposome?,The DNA sequence of an individual.,All the environmental factors to which an individual is exposed during their life.,All the observable characteristics of an individual.,All the epigenetic modifications in a sample.,b
OIC-020-21-B,Definition,What does standardization achieve in comparing health problems across populations?,By ignoring differences in age and gender,By adjusting for differences in age and gender to make populations comparable,"By using a single, overall incidence rate for all populations",By only considering the frequency of specific health problems,b
OIC-020-04-B,Definition,What are useful arguments for defining a research problem?,"Only epidemiological factors such as frequency, severity, and costs.","The current state of knowledge, including plausible pathophysiological hypotheses, low level of evidence from previous studies, and contradictory results.",Epidemiological factors only,No specific arguments are needed to define a research problem.,b
OIC-020-08-B,,Where can health research data be collected from?,Only through ad hoc studies with individual interviews and clinical exams.,"From existing epidemiological surveillance systems such as morbidity registers, compulsory declarations, sentinel networks, and vital statistics.","From medico-administrative databases like SNDS and EDS, but not from other sources.",Only through surveys with a sample of individuals who have medical records.,b
OIC-020-06-B,Definition,What must be precisely defined when choosing a study methodology?,The outcome criterion(s),The exposure factor(s) studied,The target population,The aim of the study,a
OIC-162-16-B,,What is the recommended duration for waiting before resuming sexual relations after an STI diagnosis?,At least 14 days,At least 7 days,Until symptoms disappear,After treatment completion,b
OIC-162-05-A,Etiologies,What is a characteristic of the Donovanosis lesions?,Painful with polycyclic outlines,Mildly painful granulomatous lesions,Single and indurated with clean background,Multiple and painful with inflammatory adenopathies,b
OIC-162-08-A,Positive diagnosis,What is a common clinical sign of prostatitis?,Urethral discharge,Dysuria and urethral pain,Meatitis (inflammation of the meatus),Balanitis (inflammation of the glans penis),b
OIC-162-34-B,Management,What is the recommended treatment for uncomplicated trichomoniasis?,Metronidazole 500mg twice daily for 14 days,Metronidazole PO 2g single dose,Doxycycline 200mg per os for 7 days,Azithromycin 1g single dose,b
OIC-162-21-B,,What is the recommended treatment for uncomplicated gonococcal infection in women?,Ceftriaxone 1g IV/IM single dose,Doxycycline 100mg every 12 hours orally for 10 days,Metronidazole 500mg every 12 hours orally for 14 days,"Ceftriaxone 1g per day, IV, for 7 days",a
OIC-162-27-A,Additional tests,What is the typical timeframe for a Treponemal Test (TT) to become positive after infection?,1st day of canker,7th and 10th day of canker,After 2 weeks of treatment,At the onset of symptoms,b
OIC-162-35-A,,What is a common long-term consequence of HGI in women?,Tubal Infertility,Ectopic Pregnancy,Pelvic Inflammatory Disease (PID),Human Papillomavirus (HPV),a
OIC-162-28-A,,What is the recommended treatment for a patient with HIV and primary or secondary syphilis?,Doxycycline for 14 days,Benzathine penicillin G single dose IM 2.4 million units,Azithromycin for 7 days,Erythromycin for 10 days,b
OIC-162-32-B,Etiologies,What is the primary aetiology of Trichomoniasis?,Trichomonas vaginalis,Sarcoptes scabiei hominis,Phtirius inguinalis,Human Papillomavirus (HPV),a
OIC-162-36-B,Positive diagnosis,What is true about STIs in young girls?,STIs in young girls are more common due to lack of knowledge,Young girls may be less likely to report STI symptoms due to shame or fear of abuse,"There is no age-related STI, and all STIs occur equally in children regardless of age",STIs in young girls are often misdiagnosed as other conditions,b
OIC-162-22-A,,What is a recommended preventive measure for HPV?,Using condoms,Getting vaccinated against HPV,Identifying contaminated partners and proposing screening,Taking PrEP treatment,b
OIC-162-12-A,Etiologies,What is the typical clinical presentation of gonococcal infection in women?,"Abundant, greenish, foamy, and foul-smelling leucorrhoea","White, caseous leucorrhoea, pruritus, dysuria, pollakiuria, vulvitis",Grey discharge with little smell,"Purulent leucorrhoea, pelvic heaviness, signs of associated urethritis",d
OIC-162-18-A,,What is the recommended treatment for probabilistic gonococcal and chlamydial infection?,Ceftriaxone 500mg IM or IV,Doxycycline 200mg PO for 7 days (or azithromycin 1g single dose),Penicillin G 2.4 million units IM,Ciprofloxacin 400mg PO twice daily,b
OIC-162-29-B,,What is the recommended treatment for late secondary syphilis?,Benzathine penicillin G single dose IM 2.4 million units,Doxycycline for 28 days,Benzathine penicillin G once a week for 3 weeks,Doxycycline and benzathine penicillin G together,c
OIC-162-13-B,Etiologies,What are the primary causes of upper genital infections in women?,Gonococcus and Chlamydia,Streptococcus and Staphylococcus,Trichomoniasis and Mycoplasma genitalium,All of the above,a
OIC-162-10-A,Positive diagnosis,What is a clinical sign of cervicitis in women?,Vulvovaginitis,Pelvic heaviness and signs of associated urethritis,Pruritus and oedematous vulva,Cervix with possible inflammation and discharge from the cervical os,d
OIC-162-33-B,,What is the primary test used to diagnose Neisseria gonorrhoeae infection?,PCR,Gram stain,Serology,Culture,a
OIC-162-01-A,Etiologies,What is the primary site of infection for Neisseria gonorrhoeae?,Cervix and vagina,"Urethra, cervix and vagina, throat",Anorectum,Oropharynx,b
OIC-162-20-A,,What is the recommended treatment for gonococcal infection?,Doxycycline orally 200 mg for 7 days,Benzathine penicillin G DU IM 2.4 million units,Metronidazole orally 2 g single dose,Ceftriaxone orally 500 mg twice daily for 14 days,b
OIC-162-25-B,Positive diagnosis,What is a characteristic symptom of Syphilitic Roseola?,A painful rash on the palms and soles,Pinkish macules on the trunk with no other functional symptoms,"Multiple, soft papular lesions on the genital area",Flare-ups of a copper-colored rash,b
OIC-162-14-B,Positive diagnosis,What is a common extra-genital manifestation of gonococcal infection?,Oropharyngitis,Anorectitis,Pharyngitis,Keratoconjunctivitis,b
OIC-162-15-A,Additional examinations,What type of examination should be carried out when a woman presents with upper female infections?,"CRP, CBC, and standard culture",PCR for mycoplasma only,Systematic culture for gonococcus and urethral discharge,Direct examination with a speculum,d
OIC-162-02-B,Epidemiology,What is the correct statement about Chlamydia?,It is more common than gonorrhea and affects both men and women equally.,"It is a leading cause of bacterial STIs in industrialized countries, with prevalence rates up to 10%.",It primarily affects young adults aged 15-34 and has a high frequency of asymptomatic carriage.,It is more common among men than women and has a lower risk of transmission.,b
OIC-162-30-A,Positive diagnosis,What is another name for Condylomata Acuminata?,Cocksucker's ridges,Syphilis lesions,Gonococcal ulcers,Chlamydial papules,a
OIC-162-17-B,Additional tests,What is typically sampled in the event of an upper genital infection in women?,Only CBC,CRP only,"Speculum sampling with direct examination, standard culture, and PCR for Neisseria gonorrhoeae and Chlamydia trachomatis",Surgical specimen only,c
OIC-162-09-B,Etiologies,What is the primary cause of urethritis in men?,Infectious bacteria such as Escherichia and Klebsiella,"Gonococcus, which causes acute anterior urethritis with purulent discharge","Trichomoniasis, a sexually transmitted infection that causes subacute urethritis",Trauma to the urethra,b
OIC-162-19-A,,How is condyloma typically diagnosed in women?,Urethroscopy,"FCV or HPV-HR test, possibly followed by colposcopy and biopsy",Full proctological examination,Cervical Pap smear,b
OIC-162-03-A,,What is a recommended preventive measure for STIs?,Only using condoms,Vaccination for HPV and hepatitis B only,Screening partners after unprotected sex,PrEP treatment for HIV prevention,d
OIC-162-23-A,Positive diagnosis,What is typically the duration of the primary stage of syphilis?,Less than 21 days,Variable duration (usually 21 days),More than 1 year,Always 30 days,b
OIC-162-11-B,Positive diagnosis,What is a key clinical sign of Endometritis in women?,Pelvic pain on vaginal touch,Discharge from the cervical os,High fever and increased pelvic pain on vaginal touch,Metrorrhagia and leucorrhoea,c
OIC-162-04-A,,What is the primary purpose of screening a partner or partners for sexually transmitted infections (STIs)?,To confirm the presence of an STI in the infected individual.,To prevent recontamination and reduce transmission risk to others.,To provide treatment only after symptoms appear.,To diagnose HIV infection without considering other STIs.,b
OIC-162-31-B,,What is the primary purpose of the nonavalent vaccine for HPV-related infections?,To treat existing HPV infections,To prevent HPV-related cancers in children and young adults,To cure all types of HPV infections immediately after vaccination,To boost the immune system to fight off future HPV infections,b
OIC-162-24-B,Positive diagnosis,What is the definition of late latent syphilis?,The presence of clinical signs and a positive serology test with a presumed contact date of less than one year.,The absence of clinical signs and a positive serology test with a presumed contact date of more than one year.,The presence of clinical signs and a negative serology test with a presumed contact date of more than one year.,The absence of clinical signs and a negative serology test with a presumed contact date of less than one year.,b
OIC-157-18-B,,What is the primary reason to conduct daily searches for secondary lesions in patients with bacteremia/fungemia?,To monitor treatment tolerance,To check for signs of shock or organ failure,To ensure antibiotic therapy is appropriate,To review antibiogram and dosage,b
OIC-157-14-A,,What is the primary goal of Front Door Treatment?,To eliminate all signs and symptoms immediately,To reduce the risk of relapse by addressing the underlying cause,To treat only the most severe cases first,To perform a full diagnostic workup before treatment begins,b
OIC-157-03-A,Positive diagnosis,"In cases of fungemia, what is a primary method used to guide management?",Blood cultures,Retinal examination and endocarditis testing,Abdominal imaging and liver function tests,Catheter removal,b
OIC-157-15-B,Management,When should surgical or radio-interventional control of the infectious source be sought?,Only for severe cases of endocarditis,"For all situations listed in the table, including abdominal emergencies and acute blocked pyelonephritis",In cases where there is no response to medical treatment,When the patient has a history of previous successful surgical intervention,b
OIC-157-02-B,,What percentage of patients with bacteremia/fungemia present with severity criteria?,1/4,10%,20%,25%,a
OIC-157-08-A,,When should blood cultures be taken before starting emergency antibiotic therapy?,"In all cases, including positive blood cultures (SD-190)",Before starting antibiotic therapy in patients with purpura fulminans or septic shock,Only if microbiological sampling would delay the start of antibiotic therapy by more than one hour,"Never, as it delays treatment and can worsen patient outcomes",b
OIC-157-05-B,Etiologies,What is the most common route of entry for candidemia?,Digestive mucosal lesions,IV drug addiction,Abdominal surgery,Vascular catheter,d
OIC-157-11-A,Additional tests,"What is the primary interpretation of elevated inflammatory biomarkers (CRP, procalcitonin) in adults and children with suspected bacteremia/fungemia?",They are specific indicators of infection.,They provide a non-specific orientation value only and should not be used to make definitive diagnoses.,Procalcitonin levels < 0.25 ng/ml definitively rule out bacteremia/fungemia.,Elevated CRP and procalcitonin levels are always indicative of bacterial or fungal infections.,b
OIC-157-10-B,Complementary examinations,What is the primary indication for systematic echocardiography during bacteremia/ fungemia?,"Enterobacteriaceae, Enterococci",Anaerobes,Streptococcus pneumoniae,"Bacteria Associated with Endocarditis (e.g., S. aureus, oral streptococcus, Streptococcus gallolyticus)",d
OIC-157-01-A,Definition,What defines bacteremia?,Presence of bacteria in the blood detectable by a medical professional,Presence of bacteria in the blood detectable only through laboratory testing,Presence of bacteria in the blood that can be seen with the naked eye,Presence of bacteria in the blood detectable in a blood culture bottle,d
OIC-157-04-A,Etiologies,What is the most common infectious agent causing community-acquired bacteremia in adults and children?,Streptococcus pneumoniae,Escherichia coli,Staphylococcus aureus,Group B streptococcus,b
OIC-157-13-A,,What is the recommended antimicrobial for treating Meticillin-resistant Staphylococcus aureus (MRSA)?,Penicillin M,Vancomycin,3rd generation cephalosporin,Fluoroquinolone,b
OIC-157-09-A,,What is a key indication for taking blood cultures?,Fever without any of the specified criteria,"Suspicion of endocarditis, even in the absence of fever",Fungemia suspected in immunosuppressed patients or those undergoing digestive surgery,Blood cultures are always necessary for all patients with a fever,b
OIC-157-07-A,Etiologies,What percentage of the general population are healthy carriers of Staphylococcus aureus?,10%,30%,50%,70%,b
OIC-157-17-B,Management,What is a key factor in identifying the risk of resistant infectious agents in healthcare-associated infections?,Length of hospital stay,History of colonization or infection with a multi-resistant infectious agent,Recent history of surgery or endoscopy,Chronic hemodialysis or living in an institution,b
OIC-157-06-B,Etiologies,What percentage of catheter-related infections are caused by Gram-negative bacilli?,30-40%,50-60%,70-80%,90-100%,b
OIC-157-12-A,,What is the primary purpose of antimicrobial treatment in bacteremia/fungemia?,To prevent hospital-acquired infections,To treat a therapeutic emergency and adapt based on blood culture results,To broaden the spectrum of treatments with dual therapy,To use parenteral antimicrobials initially,b
OIC-157-16-B,Management,What is the recommended duration of antibiotic treatment for Staphylococcus aureus bacteremia?,14 days,28 days,2-3 months,until symptoms resolve,a
OIC-039-07-A,Etiologies,What is an indication for using frozen donor sperm (IAD) in Intrauterine Insemination (IUI)?,Female couples or unmarried women,Repeated ICSI failures for male indications,Obstructive or non-obstructive azoospermia with or without failure of surgical extraction of testicular or epididymal sperm,Spermatozoa stored prior to gonadotoxic treatment,c
OIC-039-11-B,Complementary examinations,What is the primary purpose of a clinico-biological examination prior to Medical Assistance for Procreation (MAP)?,To assess the benefit-risk balance of MAP treatment,To identify specific risk factors for infertility and pregnancy-related pathologies,To determine the suitability of gamete or embryo donation,To evaluate the effectiveness of MPA techniques on spermatozoa,b
OIC-039-06-A,Etiologies,What is one main indication for recourse to Medical Assistance in Procreation (MAP)?,Only for same-sex couples,To avoid transmitting a viral disease to the other member of the couple,For individuals with unexplained infertility,For those seeking genetic testing only,b
OIC-039-08-A,Etiologies,What is a primary indication for IntraCytoplasmic Microinjection (ICSI)?,Failed IUI or simple induction of ovulation,Severe sperm abnormalities,Use of sperm extracted surgically or from urine,Tubal infertility,b
OIC-039-02-A,Definition,What is the main purpose of fertility preservation?,To provide medically assisted procreation for individuals with impaired fertility,To allow individuals to freeze their gametes without a medical indication,To preserve and restore fertility in individuals at risk of premature impairment,To prevent the transmission of genetic disorders through assisted reproduction,a
OIC-039-10-A,Etiologies,What is a main medical indication for female fertility preservation?,Congenital anomalies of the testicle,"Haematological diseases (leukaemia, Hodgkin's lymphoma, non-Hodgkin's lymphoma)",Surgery to the spermatic excretory tract,Congenital heart disease,b
OIC-039-01-A,Definition,What is Medically Assisted Procreation (MAP)?,A procedure used only for same-sex couples.,The use of fertility preservation techniques to prevent disease transmission and remedy infertility.,Only available to married couples with a medical condition.,A type of in vitro fertilization.,b
OIC-039-13-B,,What is a main complication associated with ovarian stimulation in MAP techniques?,Arterial or venous thromboembolism,Adnexal torsion,Pelvic infections (such as tubo-ovarian abscesses),Haemoperitoneum,a
OIC-039-05-B,Epidemiology,"According to the Agence de la Biomédecine, how many births occurred in France as a result of Medical Assistance for Procreation (MAP) in 2021?","10,000","28,000","48,000","62,000",b
OIC-039-04-A,Definition,What is a key advantage of ovarian cortex freezing or preservation?,"It can be carried out as an emergency, regardless of the phase of the menstrual cycle.",It allows for the restoration of endogenous hormone secretion and fertility after transplantation.,It has not been shown to be effective in protecting the pool of primordial follicles from chemotherapy effects.,It is only suitable for prepubescent girls.,b
OIC-039-09-A,Etiologies,What is a main indication for egg or sperm donation?,Female couple and unmarried woman.,Risk of transmitting a particularly serious viral disease to the other member of the couple.,"Severe infertility or medically confirmed sterility (e.g., premature ovarian failure, azoospermia, or other very severe sperm damage).",No wish to use gamete donation assisted medical procreation (AMP).,c
OIC-039-03-A,Definition,What is the primary purpose of ovarian stimulation in Medically Assisted Procreation (MAP)?,To mature one follicle for ovulation induction.,To prevent premature ovulation and stimulate multiple follicles to grow.,To induce ovulation directly without stimulating follicular growth.,To block the hypothalamic-pituitary axis to prevent hormonal regulation.,b
OIC-039-12-B,Support,What is the maximum age limit for gamete retrieval for the purposes of MAP (IVF/ICSI) in France?,Until the woman's 40th birthday,Until the spouse's 60th birthday,Until the 45th birthday of the woman who is to carry the child,Until the 50th birthday of the couple,b
OIC-261-11-B,Positive diagnosis,What is the primary cause of Extra-Membranous Glomerulopathy (GEM) in most cases?,Autoimmune diseases,"Solid cancers, especially if age > 50 years",Infections such as Hepatitis B and C,Medicines like NSAIDs,b
OIC-261-03-B,Epidemiology,What is the main cause of nephrotic syndrome (SN) in children?,Diabetic nephropathy,IgA Nephropathy,Nephrotic Syndrome with Minimal Glomerular Lesions (SNLGM),Extra-Membranous Glomerulopathy,c
OIC-261-13-B,Monitoring and/or prognosis,What is a poor prognostic factor for IgA Nephropathy?,Female sex,Presence of renal failure at diagnosis,Mild proteinuria,Age over 60,b
OIC-261-05-B,Additional examinations,What is a contraindication for Renal Puncture Biopsy (RPB)?,Single kidney,Poorly controlled hypertension,Diabetic retinopathy on fundus without haematuria in a patient with known diabetes,"Amyloidosis documented on a non-renal biopsy (e.g., salivary glands)",a
OIC-261-10-B,,What is the typical outcome for patients with corticosteroid-sensitive glomerular nephropathy?,Relapse after discontinuation of treatment occurs in 100% of cases,Disappearance of proteinuria and a high risk of end-stage chronic renal failure within 5 years,Relapse after corticosensitivity occurs when corticosteroid therapy is reduced or rapidly after it is stopped,Non-response (10% of cases) with no risk of relapse,c
OIC-261-04-A,Etiologies,What is the primary cause of Goodpasture's disease?,Rheumatoid purpura,Infectious vasculitis with infectious GN,Anti-MBG (Goodpasture's disease),Microscopic polyangiitis,c
OIC-261-14-A,Positive diagnosis,What is the primary characteristic of Pauci-immune GNRP?,Presence of linear IgG deposits along the glomerular basement membrane,Absence of immunoglobulin deposits in the glomeruli,Presence of endomembrane and granular deposits of Ig and/or complement,Renal manifestations with severe proteinuria and haematuria,b
OIC-261-01-A,Positive diagnosis,What percentage of proteinuria is required to confirm glomerular nephropathy?,30%,60%,80%,90%,b
OIC-261-15-A,Emergency identification,What is the primary concern in assessing the severity of Glomerular Nephropathy Renal Failure Syndrome?,Permanent kidney failure,Respiratory distress due to pulmonary oedema,Digestive complications such as peritonitis,Hyperkalaemia risk,a
OIC-261-17-B,Additional tests,What is a characteristic finding on renal biopsy in Acute Post-Infectious Glomerulonephritis (GNA)?,Extracapillary proliferation,Immunofluorescence shows deposits of IgA in the mesangium and in the wall of the glomerular capillaries,Complement consumption with a drop in C3 and C4 levels,Diffuse endocapillary proliferation with an influx of inflammatory cells,d
OIC-261-16-B,Positive diagnosis,What is a common portal of entry for Acute Post-Infectious Glomerulonephritis (GNA)?,Respiratory tract infections,Skin and ENT infections not treated with antibiotics,Urinary tract infections,Bloodstream infections,b
OIC-261-08-A,Positive diagnosis,What is the typical presentation of Minimal Glomerular Nephrotic Syndrome (MGNS)?,"Sudden onset, frequent abdominal pain in children, and complications such as thrombosis and infections.",Gradual progression to end-stage renal disease over several years.,Pure nephrotic syndrome with normal serum complement levels and no extrarenal signs.,Severe hematuria and proteinuria in adults.,c
OIC-261-06-B,Definition,What is the primary function of electron microscopy in studying glomerular lesions?,To identify deposits of immunoglobulin chains,To visualize cell proliferation and sclerosis,To examine the structure of the glomerular basement membrane (MBG),"To study the deposition of hyaline, amyloid, or glycosylated proteins",c
OIC-261-02-A,Definition,What is the primary kidney damage associated with Recurrent Macroscopic Haematuria Syndrome?,Chronic glomerulonephritis,All chronic glomerulopathies,Primary IgA nephropathy (Berger's disease) and Alport syndrome,Diabetic nephropathy,c
OIC-261-12-B,Positive diagnosis,What is suggestive of IgA Nephropathy?,Microscopic haematuria alone,Recurrent macroscopic haematuria syndrome with clots and pain 48 hours after an ENT infection,Isolated proteinuria without haematuria,Chronic kidney disease with hypertension,a
OIC-261-09-B,Management,What is the primary treatment approach for Idiopathic SNLGM?,Surgery,Prolonged high-dose oral corticosteroid therapy with adjuvant treatments,Immunosuppressive medications only,Dietary changes alone,b
OIC-261-18-B,Management,What is the primary treatment approach for Glomerular Nephropathy (GNRP)?,Symptomatic treatment only,High dose corticosteroids and immunosuppressants,Corticosteroids and anti-proteinuric treatment,No specific treatment exists,b
OIC-261-07-B,Definition,What is the characteristic histological feature of Goodpasture's Disease?,No deposits found,Mesangial location of IgA,Extracapillary proliferation with linear IgG deposits along the MBG,Proliferation in the mesangium,c
OIC-075-04-B,,What is primarily responsible for addiction in smokers?,Carcinogenic compounds,Nicotine,Tars,Carbon monoxide,b
OIC-075-29-B,Management,What type of psychiatric disorders are commonly linked to smoking cessation?,Only schizophrenia,"Bipolar disorder, but not anxiety or depression","Anxiety and depressive episodes, as well as schizophrenia",None of the above,c
OIC-075-09-A,Epidemiology,At what age does tobacco experimentation typically begin?,13,14,16,17,b
OIC-075-30-B,Management,What is the primary purpose of regular follow-up after quitting smoking?,To reward the smoker for their efforts,To analyze the circumstances of any relapse and maintain follow-up in hopes of another quit attempt,To improve the chances of successful cessation by monitoring progress,To define a 'successful' withdrawal as one that lasts ≥ 1 year,c
OIC-075-02-A,Definition,What is the main agent responsible for addiction in tobacco use?,Nicotine,Tobacco itself,Other substances found in tobacco,Environmental factors,a
OIC-075-25-A,Management,What is the primary goal of the 2018-2022 National Programme for Tobacco Control in France?,To increase tobacco consumption,To protect children from taking up smoking,To encourage smokers to quit and reduce tobacco economy,To monitor and evaluate knowledge about tobacco,c
OIC-075-10-A,Epidemiology,"According to the educational content, what percentage of pregnant women continue to smoke during pregnancy?",25%,50%,75%,90%,b
