id,question,option_a,option_b,option_c,option_d,correct_option
OIC-235-14-B,Question 1,Option A,Option B,Option C,Option D,Option A
OIC-235-11-B,Which of the following is NOT an etiology of bacterial pericarditis?,Rarer but more serious,High fever >39°C,"Germs: staphylococci, pneumococci, streptococci, gram-negative bacilli, fungi","Occurs in immunocompromised subjects or carriers of severe infection (septicemia, pleuropulmonary infection, or after cardiac or thoracic surgery)","Bacterial pericarditis is a rare but serious form of pericarditis. It occurs when germs such as staphylococci, pneumococci, streptococci, gram-negative bacilli, and fungi are found in the fluid surrounding the heart. The bacteria can cause inflammation that leads to an accumulation of fluid around the heart (pericardial effusion). This condition is often associated with a high fever (>39°C) and other symptoms such as chills or shaking chills. It may also be accompanied by signs of sepsis, including low blood pressure, rapid pulse, and difficulty breathing. Treatment involves antibiotics to kill the germs causing the pericarditis and drainage of the fluid surrounding the heart."
OIC-235-13-A,Which of the following is not a complication of acute pericarditis?,Myocarditis,Tamponade,Recurrence,Pericardial Constriction,Option d
OIC-235-06-B,Which of these is NOT a common finding on chest X-ray?,"Left border straight or ""heart in a jug"" when there is abundant effusion",Pleural effusion sometimes associated,Coeur en carafe appearance in cases of significant effusion,Pericardial thickening,A
OIC-235-08-A,"Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.

**Educational Content:**

Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.

**Item Parent:** Acute Pericarditis 

**Title:** Assessing the Risk of Complications Requiring Hospitalization 

**Description:** Fever > 38°C, duration of symptoms, abundant pericardial effusion, resistance to anti-inflammatory treatment.","Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.

**Educational Content:**

Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.

**Item Parent:** Acute Pericarditis 

**Title:** Assessing the Risk of Complications Requiring Hospitalization 

**Description:** Fever > 38°C, duration of symptoms, abundant pericardial effusion, resistance to anti-inflammatory treatment.","Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.

**Educational Content:**

Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.

**Item Parent:** Acute Pericarditis 

**Title:** Assessing the Risk of Complications Requiring Hospitalization 

**Description:** Fever > 38°C, duration of symptoms, abundant pericardial effusion, resistance to anti-inflammatory treatment.","Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.

**Educational Content:**

Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.

**Item Parent:** Acute Pericarditis 

**Title:** Assessing the Risk of Complications Requiring Hospitalization 

**Description:** Fever > 38°C, duration of symptoms, abundant pericardial effusion, resistance to anti-inflammatory treatment.","Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.

**Educational Content:**

Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.

**Item Parent:** Acute Pericarditis 

**Title:** Assessing the Risk of Complications Requiring Hospitalization 

**Description:** Fever > 38°C, duration of symptoms, abundant pericardial effusion, resistance to anti-inflammatory treatment.","Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.

**Educational Content:**

Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.

**Item Parent:** Acute Pericarditis 

**Title:** Assessing the Risk of Complications Requiring Hospitalization 

**Description:** Fever > 38°C, duration of symptoms, abundant pericardial effusion, resistance to anti-inflammatory treatment."
OIC-235-12-A,"Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.

**Educational Content:**

**Item Parent:** Acute Pericarditis 

**Title:** Treatment of Benign Acute Pericarditis 

**Description:** Rest, analgesics, anti-inflammatory bi-therapy: aspirin or ibuprofen and colchicine 

**Rubric:** Management 

- Rest, no sport (minimum duration until resolution of symptoms after normalization of CRP, ECG, and ETT: typically 3 months)
- Double anti-inflammatory treatment:
  - **NSAIDs:**
    - Aspirin 1000 mg, three times per day
    - Or ibuprofen 800 mg, three times per day for 2 weeks
    - Then decrease progressively according to symptoms and CRP
  - Systematically combined with 
    - Colchicine: 
      - 0.5 mg twice daily if weight > 70 kg
      - 0.5 mg daily if weight < 70 kg
      - For 3 months
      - Calms pain and reduces the risk of recurrence
      - Potential drug interactions (via cytochrome P450)
      - Strict biological monitoring (transaminases, creatinine, CPK, CBC, platelets)
      - Contraindicated in cases of severe renal impairment 
- Association with gastric protection
- No corticosteroids as first-line treatment
- Most often favorable outcome","Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.

**Educational Content:**

**Item Parent:** Acute Pericarditis 

**Title:** Treatment of Benign Acute Pericarditis 

**Description:** Rest, analgesics, anti-inflammatory bi-therapy: aspirin or ibuprofen and colchicine 

**Rubric:** Management 

- Rest, no sport (minimum duration until resolution of symptoms after normalization of CRP, ECG, and ETT: typically 3 months)
- Double anti-inflammatory treatment:
  - **NSAIDs:**
    - Aspirin 1000 mg, three times per day
    - Or ibuprofen 800 mg, three times per day for 2 weeks
    - Then decrease progressively according to symptoms and CRP
  - Systematically combined with 
    - Colchicine: 
      - 0.5 mg twice daily if weight > 70 kg
      - 0.5 mg daily if weight < 70 kg
      - For 3 months
      - Calms pain and reduces the risk of recurrence
      - Potential drug interactions (via cytochrome P450)
      - Strict biological monitoring (transaminases, creatinine, CPK, CBC, platelets)
      - Contraindicated in cases of severe renal impairment 
- Association with gastric protection
- No corticosteroids as first-line treatment
- Most often favorable outcome","Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.

**Educational Content:**

**Item Parent:** Acute Pericarditis 

**Title:** Treatment of Benign Acute Pericarditis 

**Description:** Rest, analgesics, anti-inflammatory bi-therapy: aspirin or ibuprofen and colchicine 

**Rubric:** Management 

- Rest, no sport (minimum duration until resolution of symptoms after normalization of CRP, ECG, and ETT: typically 3 months)
- Double anti-inflammatory treatment:
  - **NSAIDs:**
    - Aspirin 1000 mg, three times per day
    - Or ibuprofen 800 mg, three times per day for 2 weeks
    - Then decrease progressively according to symptoms and CRP
  - Systematically combined with 
    - Colchicine: 
      - 0.5 mg twice daily if weight > 70 kg
      - 0.5 mg daily if weight < 70 kg
      - For 3 months
      - Calms pain and reduces the risk of recurrence
      - Potential drug interactions (via cytochrome P450)
      - Strict biological monitoring (transaminases, creatinine, CPK, CBC, platelets)
      - Contraindicated in cases of severe renal impairment 
- Association with gastric protection
- No corticosteroids as first-line treatment
- Most often favorable outcome","Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.

**Educational Content:**

**Item Parent:** Acute Pericarditis 

**Title:** Treatment of Benign Acute Pericarditis 

**Description:** Rest, analgesics, anti-inflammatory bi-therapy: aspirin or ibuprofen and colchicine 

**Rubric:** Management 

- Rest, no sport (minimum duration until resolution of symptoms after normalization of CRP, ECG, and ETT: typically 3 months)
- Double anti-inflammatory treatment:
  - **NSAIDs:**
    - Aspirin 1000 mg, three times per day
    - Or ibuprofen 800 mg, three times per day for 2 weeks
    - Then decrease progressively according to symptoms and CRP
  - Systematically combined with 
    - Colchicine: 
      - 0.5 mg twice daily if weight > 70 kg
      - 0.5 mg daily if weight < 70 kg
      - For 3 months
      - Calms pain and reduces the risk of recurrence
      - Potential drug interactions (via cytochrome P450)
      - Strict biological monitoring (transaminases, creatinine, CPK, CBC, platelets)
      - Contraindicated in cases of severe renal impairment 
- Association with gastric protection
- No corticosteroids as first-line treatment
- Most often favorable outcome","Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.

**Educational Content:**

**Item Parent:** Acute Pericarditis 

**Title:** Treatment of Benign Acute Pericarditis 

**Description:** Rest, analgesics, anti-inflammatory bi-therapy: aspirin or ibuprofen and colchicine 

**Rubric:** Management 

- Rest, no sport (minimum duration until resolution of symptoms after normalization of CRP, ECG, and ETT: typically 3 months)
- Double anti-inflammatory treatment:
  - **NSAIDs:**
    - Aspirin 1000 mg, three times per day
    - Or ibuprofen 800 mg, three times per day for 2 weeks
    - Then decrease progressively according to symptoms and CRP
  - Systematically combined with 
    - Colchicine: 
      - 0.5 mg twice daily if weight > 70 kg
      - 0.5 mg daily if weight < 70 kg
      - For 3 months
      - Calms pain and reduces the risk of recurrence
      - Potential drug interactions (via cytochrome P450)
      - Strict biological monitoring (transaminases, creatinine, CPK, CBC, platelets)
      - Contraindicated in cases of severe renal impairment 
- Association with gastric protection
- No corticosteroids as first-line treatment
- Most often favorable outcome","> Correct Option: <option_a> Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.

**Educational Content:**

**Item Parent:** Acute Pericarditis 

**Title:** Treatment of Benign Acute Pericarditis 

**Description:** Rest, analgesics, anti-inflammatory bi-therapy: aspirin or ibuprofen and colchicine 

**Rubric:** Management 

- Rest, no sport (minimum duration until resolution of symptoms after normalization of CRP, ECG, and ETT: typically 3 months)
- Double anti-inflammatory treatment:
  - **NSAIDs:**
    - Aspirin 1000 mg, three times per day
    - Or ibuprofen 800 mg, three times per day for 2 weeks
    - Then decrease progressively according to symptoms and CRP
  - Systematically combined with 
    - Colchicine: 
      - 0.5 mg twice daily if weight > 70 kg
      - 0.5 mg daily if weight < 70 kg
      - For 3 months
      - Calms pain and reduces the risk of recurrence
      - Potential drug interactions (via cytochrome P450)
      - Strict biological monitoring (transaminases, creatinine, CPK, CBC, platelets)
      - Contraindicated in cases of severe renal impairment 
- Association with gastric protection
- No corticosteroids as first-line treatment
- Most often favorable outcome"
OIC-235-02-A,"Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.","Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.","Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.","Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.","Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.","Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic."
OIC-235-09-A,Know the aetiology of the usual clinical form,Acute viral pericarditis,Benign in 90% of cases,Generally corresponds to a non-purulent lymphocytic effusion.,"Typical clinical picture: Recent flu-like episode, Young adult male with no significant cardiological history. Frequent recurrence or relapse (30 to 50%). Rare tamponade.",Acute viral pericarditis
OIC-235-15-A,How do you diagnose tamponade?,The right ventricle is unable to fill due to the external pressure exerted by the effusion.,The left ventricle is unable to fill due to the external pressure exerted by the effusion.,The right and/or left ventricles are unable to fill due to the external pressure exerted by the effusion.,The right and/or left ventricles are unable to fill due to the internal pressure exerted by the effusion.,option_a
OIC-235-05-B,Which of these statements about pericardial puncture is false?,The most common cause of acute pericarditis is infectious pericarditis.,"Infectious pericarditis can be caused by a variety of organisms, including viruses and bacteria.",Percutaneous drainage is the preferred method for treating chronic abundant effusion with no obvious etiology.,Surgical drainage is indicated in cases of purulent effusion suspected on ultrasound.,Option d
OIC-100-03-A,"Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.

Answer options must be as short as possible.","Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.

Answer options must be as short as possible.","Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.

Answer options must be as short as possible.","Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.

Answer options must be as short as possible.","Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.

Answer options must be as short as possible.","Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.

Answer options must be as short as possible."
OIC-100-04-B,"Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.

Answer options must be as short as possible.","Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.

Answer options must be as short as possible.","Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.

Answer options must be as short as possible.","Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.

Answer options must be as short as possible.","Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.

Answer options must be as short as possible.","Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.

Answer options must be as short as possible."
OIC-100-02-A,What is the most common cause of headache requiring emergency treatment and its clinical presentation?,Meningitis syndrome,Intracranial Hypertension Syndrome,Tumor,Subdural hematoma,Meningitis syndrome
OIC-100-06-A,"Discuss the indication for hospitalization and lumbar puncture in the presence of acute headache, knowing the relevance of this examination.","Any sudden acute headache is investigated as an aneurysmal SAH. Any acute progressive headache should be investigated as HTIC. Any acute febrile headache is investigated as meningitis. Investigations are carried out in the emergency department, sometimes after the patient has been transferred to a center with the necessary imaging capabilities (angioscanner).","Any sudden acute headache is investigated as an aneurysmal SAH. Any acute progressive headache should be investigated as HTIC. Any acute febrile headache is investigated as meningitis. Investigations are carried out in the emergency department, sometimes after the patient has been transferred to a center with the necessary imaging capabilities (angioscanner).","Any sudden acute headache is investigated as an aneurysmal SAH. Any acute progressive headache should be investigated as HTIC. Any acute febrile headache is investigated as meningitis. Investigations are carried out in the emergency department, sometimes after the patient has been transferred to a center with the necessary imaging capabilities (angioscanner).","Any sudden acute headache is investigated as an aneurysmal SAH. Any acute progressive headache should be investigated as HTIC. Any acute febrile headache is investigated as meningitis. Investigations are carried out in the emergency department, sometimes after the patient has been transferred to a center with the necessary imaging capabilities (angioscanner).","Any sudden acute headache is investigated as an aneurysmal SAH. Any acute progressive headache should be investigated as HTIC. Any acute febrile headache is investigated as meningitis. Investigations are carried out in the emergency department, sometimes after the patient has been transferred to a center with the necessary imaging capabilities (angioscanner)."
OIC-100-07-A,"Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.","Position the patient lying down with the head at 30°, ensure the patient remains calm, and provide darkness if photophobia is present.

Ensure the patient is on an empty stomach.

Prescribe analgesic treatment (paracetamol 1g, nefopam [Acupan®] 20 mg) combined with antiemetic treatment if nausea/vomiting occurs (metoclopramide). Administer intravenously if there are associated digestive problems. Switch to a level 2 analgesic if the initial treatment is unsuccessful.

Avoid prescribing aspirin and NSAIDs as they may aggravate hemorrhage.

Avoid sedatives that may mask the emergence of consciousness disorders.","Isolate the patient.

Provide IV rehydration if necessary (in cases of severe vomiting).

Administer IV treatment with an analgesic (paracetamol 1g, nefopam [Acupan®] 20 mg) or NSAID (ketoprofen 100 mg) combined with an antiemetic (metoclopramide 10 mg).","Administer IV treatment with an analgesic (paracetamol 1g, nefopam [Acupan®] 20 mg) or NSAID (ketoprofen 100 mg) combined with an antiemetic (metoclopramide 10 mg).

If the headache persists unchanged, reconsider the diagnosis of a primary headache attack and investigate for a cause of secondary headache.","Administer IV treatment with an analgesic (paracetamol 1g, nefopam [Acupan®] 20 mg) or NSAID (ketoprofen 100 mg) combined with an antiemetic (metoclopramide 10 mg).

If the headache persists unchanged, reconsider the diagnosis of a primary headache attack and investigate for a cause of secondary headache.

Avoid prescribing aspirin and NSAIDs as they may aggravate hemorrhage.

Avoid sedatives that may mask the emergence of consciousness disorders.","Administer IV treatment with an analgesic (paracetamol 1g, nefopam [Acupan®] 20 mg) or NSAID (ketoprofen 100 mg) combined with an antiemetic (metoclopramide 10 mg)."
OIC-100-09-A,Which of these is not a common cause of primary headaches?,Migraine,Tension-type headache,Cluster headache,Hemicrania continua,A
OIC-100-05-A,"Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.

**Educational Content**

**Item Parent:** Unusual acute and chronic headache in adults and children 

Description: None

Rubric: Etiologies","Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.

**Educational Content**

**Item Parent:** Unusual acute and chronic headache in adults and children 

Description: None

Rubric: Etiologies","Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.

**Educational Content**

**Item Parent:** Unusual acute and chronic headache in adults and children 

Description: None

Rubric: Etiologies","Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.

**Educational Content**

**Item Parent:** Unusual acute and chronic headache in adults and children 

Description: None

Rubric: Etiologies","Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.

**Educational Content**

**Item Parent:** Unusual acute and chronic headache in adults and children 

Description: None

Rubric: Etiologies","Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.

**Educational Content**

**Item Parent:** Unusual acute and chronic headache in adults and children 

Description: None

Rubric: Etiologies"
OIC-100-01-A,Have you ever had this type of headache?,Yes,No,I don't know,Other (please specify),b
OIC-100-08-A,"Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.","The search for an aneurysm indicates a cerebral angioscanner if this has not already been done.

In the presence of a visible SAH: The search for an aneurysm indicates a cerebral angioscanner if this has not already been done. In the absence of a visible SAH: LP is imperative.","The search for an aneurysmal SAH must be discussed (specialist opinion), particularly if the headache persists, and is based on arterial (SVCR), venous (TVC), and SAH (dissection) angioscanner, followed by cerebral MRI (TVC, pituitary necrosis).","The search for an aneurysmal SAH indicates a cerebral angioscanner if this has not already been done.

If no SAH is found on CT scan or LP, the search for another cause must be discussed (specialist opinion), particularly if the headache persists, and is based on arterial (SVCR), venous (TVC), and SAH (dissection) angioscanner, followed by cerebral MRI (TVC, pituitary necrosis).","The search for an aneurysmal SAH indicates a cerebral angioscanner if this has not already been done.

If no SAH is found on CT scan or LP, the search for another cause must be discussed (specialist opinion), particularly if the headache persists, and is based on arterial (SVCR), venous (TVC), and SAH (dissection) angioscanner, followed by cerebral MRI (TVC, pituitary necrosis).",option_b
OIC-145-12-A,"Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.",Use of a condom,"Expulsion from school or a community center, time off work",Geographical isolation of carriers as part of additional precautions during treatment,Veterinary measures if the reservoir is an animal,Option d
OIC-145-06-B,What is surveillance?,The collection of data on health status for epidemiological purposes via correspondents in the national public health network.,"The analysis and updating of knowledge of health risks, their causes, and trends.",The detection of risk factors likely to modify or alter the health of the population.,"The information provided by SPF to the Minister for Health in case of an alert linked to an emerging virus (e.g., SARS-CoV-2).",option_a
OIC-145-03-B,To understand the main structures and organizations responsible for the surveillance of communicable infectious diseases in France.,Santé Publique France,Regional Health Agencies (ARS),National Reference Centres (CNR),National Surveillance Networks,option_a
OIC-145-09-B,Which of the following is NOT a zoonosis?,Direct Horizontal Transmission from an Animal to a Person (Zoonosis),Indirect Horizontal Transmission Between the Reservoir and the Host via an Intermediary,Vertical Transmission from Mother to Child,Airborne Particles,option_a
OIC-145-07-B,Which of the following statements best describes the transmission chain for a human-to-human transmissible disease?,The infectious agent is transmitted from an infected person to another individual through direct contact with the infectious agent. The infectious agent multiplies in the host and causes infection.,"The infectious agent is transmitted from an infected person to another individual through indirect contact with the infectious agent (e.g., a contaminated object). The infectious agent multiplies in the host and causes infection.","The infectious agent is transmitted from an infected person to another individual through direct contact with the infectious agent. The infectious agent multiplies in the reservoir, which then transmits it to other individuals.","The infectious agent is transmitted from an infected person to another individual through indirect contact with the infectious agent (e.g., a contaminated object). The infectious agent multiplies in the reservoir and causes infection.",> option_c
OIC-145-01-A,Which of these statements about transmissible infectious diseases is true?,Transmissible Infectious Diseases are caused by an infectious agent.,"Their ability to be transmitted between individuals in the case of contagious diseases, or to several individuals from a common source, is not always present.","Not all communicable diseases are contagious, meaning they are not all transmitted from person to person (e.g., tetanus, botulism, legionellosis).",An indicator is a variable that is measured and used to describe and monitor the state of health of a population. It is a tool for evaluation and decision-making.,Transmissible Infectious Diseases are caused by an infectious agent.
OIC-145-13-A,"Which of these statements about communicable infectious diseases is correct? 

1. Eviction is not possible everywhere (e.g., in nursing homes) and must sometimes be replaced by isolation measures, applying additional precautions adapted to the mode of transmission of the disease in question.
2. Certain transmissible diseases may require eviction from children's groups, crèches, and teaching and educational establishments. The list of 52 diseases requiring eviction or isolation in groups was updated in 2012 by the Haut Conseil de la Sante Publique and is available on its website.
3. For each of these communicable diseases, these recommendations specify:

- Whether or not it is necessary to take eviction or isolation measures.
- If so, for how long after any anti-infectious treatment has been started.",1,2,3,4,1
OIC-145-11-B,Which of these is NOT an expert centre for communicable diseases? ,Centre National d'Etudes Spatiales,Institut Pasteur de l'Ile-de-France,Centre Hospitalier Universitaire de Nantes,Centre Hospitalier Universitaire de Bordeaux,option_c
OIC-145-02-B,Which of these is NOT a surveillance system? ,Active surveillance,Passive surveillance,Semi-active surveillance,Territorial surveillance,Option b
OIC-145-04-B,Which of the following is not an epidemiological indicator useful in the surveillance of infectious diseases?,Prevalence,Incidence,Attack Rate,Basic Reproduction Number (R<sub>0</sub>),> 1
OIC-145-14-B,Which of the following is NOT a goal of the Sentinel Network?,The creation of large databases,The development of epidemic detection and forecasting tools,Setting up clinical and epidemiological studies.,The monitoring of communicable infectious diseases in primary care.,option_c
OIC-145-08-A,Which of these is not a mode of transmission for infectious diseases? (Select all that apply.),Contact,Droplets,Air,Environment,Option d
