id,question,option_a,option_b,option_c,option_d,correct_option
OIC-027-35-A,What should be the recommended daily limit for cigarette smokers during pregnancy to minimize fetal risks?,20 cigarettes,10 cigarettes,30 cigarettes,50 cigarettes,b
OIC-027-34-B,What are the main factors affecting the interaction between smoking and the fetus?,Genetic predisposition,Socio-demographic factors,Epidemiological factors,Cytochrome P450 and glutathione S-transferase genes,a
OIC-027-40-B,What is the main effect of maternal heroin use on fetal development in pregnancy?,Spontaneous miscarriage,Intrauterine growth retardation,Premature rupture of membranes,Retroplacental hematoma,Spontaneous miscarriage
OIC-027-42-B,What is the recommended dose for buprenorphine during pregnancy?,100mg,50mg,200mg,300mg,b
OIC-027-36-B,Which option is NOT recommended for a pregnant woman who wants to stop smoking?,"Advice and information tailored to the smoker's motivation and history, delivered to the patient using a variety of media",Brief intervention: involves probing the interview with open-ended questions,Nicotine prescription given to the patient in the event of pharmacological dependence,Addictology follow-up consultation (SD-293),option_a
OIC-027-06-A,What is the best way to prevent infection from spreading during pregnancy?,Avoid eating raw fish,Wash fruits and vegetables before cooking them,Give your baby antibiotics for illness,Use a different water source every day,b
OIC-027-32-B,"What is a recommended procedure for managing vitamin A derivatives, such as isotretinoin and acitretin?",Antifolate therapy,Thyroid hormone replacement therapy,Depakene,Methotrexate,A
OIC-027-18-A,Varicella Zoster Virus (VZV): What should you do before getting vaccinated against chickenpox?,Get tested for a cold sore,Have sex and get pregnant without contraception,Wait until after childbirth to get vaccinated,Consult a doctor about the risks of chickenpox,option_a
OIC-027-17-A,When is maternal screening for HIV offered to ensure accurate diagnosis and detection of the condition?,During pregnancy itself,Immediately after delivery,Before conception,At 6 months postpartum,A
OIC-027-10-A,How often does hospitalization for pneumonia among pregnant women contracting measles occur?,10%,15%,30%,5%,b
OIC-027-31-A,What is isotretinoin?,A beta-carotene supplement,An oral antidiabetic medication,Is a vitamin C derivative,The antibiotic amoxicillin,option_a
OIC-027-11-A,What should be done in the event of a confirmed measles infection in an HIV-negative pregnant woman?,Administer IV immunoglobulins immediately,Perform an emergency vaccination,Follow childbirth with a trivalent vaccine booster shot,Continue pregnancy as normal,option_b
OIC-027-29-B,What should be done if a mother is prescribed anti-D immunoglobulin at 28 weeks' gestation?,Give the newborn an IAT to test for antibodies against D,"Just wait and see if the baby shows any symptoms, as it's not necessary",Not relevant as no D antibodies would be present in such a case,Injecting anti-D immunoglobulin at 28 weeks' gestation may help prevent the production of antibodies against D,option_d
OIC-027-12-A,What percentage of women can expect to transmit CMV to their newborns?,15% - Low,20% - Moderate,25% - High,30%,b
OIC-027-24-B,What is the current belief about the relationship between bacterial vaginosis and premature birth?,Bacterial vaginosis increases the risk of premature birth,Bacterial vaginosis does not increase the risk of premature birth,The risk of threatened premature delivery associated with bacterial vaginosis is not well established,There is no association between bacterial vaginosis and premature birth at all,option_a
OIC-027-09-A,What can cause a mother-to-be's risk of having a baby born with congenital measles?,Infection during pregnancy,Not taking the flu vaccine,Drugs that affect immune function,Rapidly changing weather conditions in the fall and winter.,Infection during pregnancy
OIC-027-27-A,"What should all pregnant women do with their Rhesus group phenotype? 1. Have it determined during the 2nd trimester, 2. Only have it determined in the event of a positive IAT, or 3. Use it as an identity check",Have it determined during the 4th trimester,Only have it determined in the event of a positive IAT,Use it as an identity check,Have it determined at birth,1
OIC-027-44-B,What is a potential long-term consequence of addiction during pregnancy?,The mother's immune system may be suppressed due to the addiction medication.,Alcohol will not have any effect on the fetus,The baby may be born prematurely due to the maternal condition,Maternal nutrition deficiencies can lead to birth defects.,option_a
OIC-027-23-B,What is the typical duration of metronidazole treatment for bacterial vaginosis?,5 days,4 days,7 days,1 week,c
OIC-027-01-A,What is maternal-fetal infection (MFI)?,A severe illness that affects both mother and baby.,Bacteria that cause diseases in newborns when they are born to a woman who has a bacterial illness during pregnancy or delivery.,An autoimmune disease that can be passed from parent to child through the placenta.,A viral infection that causes a temporary flu-like symptoms in newborns after birth.,b
OIC-027-04-A,What percentage of children infected ,70%,25%,40%,61%,b
OIC-027-05-A,What should pregnant women with a positive IgA and IgM test result have next?,Serology testing should continue monthly until delivery.,The patient should be referred to an Antimalarial Centre for treatment.,The patient's immune system will automatically clear the infection after one month without treatment.,"None, pregnant women with positive serologies have no need for treatment.",b
OIC-027-43-B,What is the primary goal of ante-natal consultation in managing Neonatal Withdrawal Syndrome (NNDS)?,To inform parents about NNDS risk prevention,To organize medical treatment for NNDS immediately after birth,To educate parents on breastfeeding and skin-to-skin contact benefits,To prepare parents for the possibility of NNDS diagnosis through reassurance alone,option_a
OIC-027-19-B,What is a potential mechanism by which Listeria monocytogenes causes maternal-fetal transmission of listeriosis?,Listeria monocytogenes adheres to the placental cells,Listeria monocytogenes disrupts the blood-brain barrier in the fetus,Listeria monocytogenes triggers an inflammatory response in the placenta,Listeria monocytogenes directly enters the fetal circulation through the placenta,option_a
OIC-027-21-B,What additional test to prescribe during suspected listeriosis requires blood cultures?,Cerebrospinal fluid sample,Blood and cerebrospinal fluid samples,Placenta examination,Gastric fluid aspiration,blood and cerebrospinal fluid samples
OIC-027-30-A,What should be done when a pregnant patient discovers that she was taking some drugs?,Inform the doctor immediately,Stop all further treatment,Prescribe a new medication to replace it,Do not discuss any details with her and leave the decision up to the Pluridisciplinary Centre for Prenatal Diagnosis.,Option_a: Inform the doctor immediately
OIC-027-15-A,What is the main mode of vertical transmission for Maternal-Fetal HBV Infection?,Intra-natal transfer,Through maternal-fetal passage of infected bodily fluids such as blood and saliva,Horizontal transfer through sexual contact,Ingestion of contaminated food or water while pregnant,b
OIC-027-46-A,What should be done by pregnant women who are radiological examinations under 20 weeks gestation?,Limit the number of images taken/scopy time to what is strictly necessary,Use a lead apron over their abdomen to limit the dose delivered to the uterus during the examination,Perform an ultrasound or MRI instead of radiography for non-irradiating tests,Pregnant women should never be exposed to ionizing radiation even if it is necessary for medical treatment.,a
OIC-027-20-A,What is a common food to avoid during MF: Knowing the Elements of Prevention?,"(a) Raw sprouts (soya, alfalfa)",(b) Smoked fish,(c) Cooked charcuterie products eaten as they are,(d) Soft cheeses made from raw milk,option_a
OIC-027-45-B,What is the primary concern regarding irradiation at doses of 100-200 mGy?,Reduced IQ,Increased risk of leukemia/cancer,Cell death in major organs,Increased IUGR,a
OIC-027-14-B,What should be done to prevent genital herpes recurrence during pregnancy?,Administer vaccination against the virus,Use a different brand of amoxicillin antibiotic,Take antacids for heartburn prevention,Have regular check-ups with a dermatologist,option_a
OIC-179-05-A,What is involved in ensuring water-related health risks are controlled?,Properly treating contaminated water,Eliminating all sources of contamination,Allowing pollution-generating activities to continue without control,Only focusing on source protection,A
OIC-179-02-B,What is the primary mode of transmission for Toxoplasmosis?,Drinking contaminated water,Raw undercooked meat from infected animals,Insect bites and contact with contaminated soil,Infected eggs in feces,option_a
OIC-179-10-B,What is the primary goal of a CFTI investigation?,To identify potential sources of contamination,To locate the contaminated raw material,To find out if food has been spoiled or pasteurized incorrectly,To inspect food products for pests and parasites,option_a
OIC-179-03-A,What are the common health risks linked to contaminated food?,Microbial pollution,Toxins in pesticides and disinfectants,Hepatitis from viral infection,Food poisoning from bacterial contamination,a
OIC-179-04-B,What is the primary source of bacterial pollution in drinking water?,Human waste,Animal feces,Industrial activities,Natural sources only,b
OIC-179-08-A,What is the primary cause of botulism?,Toxoplasmosis,Staphylococcus aureus,Salmonella enterica non-Typhi serotypes,Clostridium perfringens,c
OIC-179-07-A,What is the primary difference between cholera-like diarrhea and acute hepatitis?,Both symptoms are caused by heat-stable toxins in food.,Both symptoms have digestive disorders as their main clinical manifestations.,"Cholera-like diarrhea has neurological symptoms, while acute hepatitis has non-neurological symptoms.",The primary difference is that cholera-like diarrhea can be caused by Clostridium perfringens and Vibrio parahaemolyticus.,c
OIC-179-01-B,What are the typical reservoirs for each disease?,Humans,Animals,Plants,Unknown,b
OIC-179-11-A,What is the purpose of medical surveillance of staff when there is a TIA (Traffic-In-Closed Area) in place?,To identify and isolate infected food handlers,To monitor for any changes in staff behavior that might indicate contamination,To provide immunity to all involved personnel,To verify the validity of food samples,option_a
OIC-179-09-A,What type of case should be suspected when there are clustered gastrointestinal disorders?,"When there are clusters of rare skin conditions,","When there are clusters of migraines and other neurological disorders,","When there are clusters of food poisoning outbreaks,","When not specified, unless the environment is collective.",option_a
OIC-179-06-A,What is the most common health risk tied to the consumption of poorly preserved fish?,Gastrointestinal disorders due to histamine syndrome,Neurological damage from heavy metals,Skin rash from food allergens,Liver disease due to parasites,option_a
OIC-030-01-B,What is the recommended initial step for asymptomatic newborns at risk of Neonatal Bacterial Infection?,Antibiotic prophylaxis or inadequate per-partum antibiotic therapy,Reinforced clinical surveillance only,Monitoring maternal colonization with GBS and history of neonatal infection,Antisepsis for the birth canal,option_a
OIC-030-04-B,What is a major risk factor for induced prematurity?,Tobacco use during pregnancy,A history of maternal pathologies requiring induction of labor or cesarean section,Multiple pregnancies and hydramnios,Short interval between last two pregnancies and IVF,b
OIC-030-02-B,What is not an indicator for respiratory distress syndrome? ,Failure to thrive,Polydactyly,Cyanosis,Pneumonia,c
OIC-030-03-B,What is a common cause of intrauterine growth retardation (IUGR)?,1.,2.,3.,"4"".",1
OIC-121-05-B,What is the primary purpose of a legal protection measure according to psychological disability principles?,To facilitate daily activities.,To provide financial support.,To establish guardianship.,To empower the individual with autonomy.,c
OIC-121-03-B,What are the three main methods for patients to manage their mental disorder?,Therapeutic Education,Psychotherapy,Cognitive Remediation,All of the above,option_a
OIC-121-02-B,What is the main goal of psychological disability care?,To provide a safe and supportive environment for individuals with disabilities,To help individuals manage their symptoms through medication,To reduce the stigma associated with mental illness,It's only necessary to learn basic math skills to address mental health issues.,to provide a safe and supportive environment for individuals with disabilities
OIC-121-01-A,What does a 'psychic disability' (SD-269) refer to in relation to psychiatric disorders?,A condition leading to cognitive impairment,A disorder causing intellectual function loss,A severe mental illness that affects an individual's thoughts and behavior,An inability to perform daily activities due to a severe psychological imbalance,option_a
OIC-121-04-B,What is the primary focus of psychosocial rehabilitation?,Improving mental health and well-being,Creating social isolation for disabled adults,Providing sheltered employment opportunities,Supporting mental disability through medication,a
OIC-020-12-B,What is the primary difference between a null hypothesis (H0) and an alternative hypothesis (H1)?,"The first-order risk, 'alpha,' is the probability of rejecting the null hypothesis when it is true.",A one-sided test is used to determine if there is a significant difference in favor of the alternative hypothesis.,The power of the test is determined by the size of the sample (N) and the difference between the treatments,"In a two-tailed test, both sides are equally likely to be incorrect.",a
OIC-020-26-A,What is considered a major source of error for descriptive studies?,Selection Bias,Random Error,Confusion Bias,Attrition Bias,b
OIC-020-22-A,What is the primary purpose of calculating crude measures of association?,To account for confounding factors,To control for potential biases in the data,To estimate the average risk of exposure among the entire population,To measure the effectiveness of a treatment on individual patients only,c
OIC-020-03-A,What is the main role of a Promoter in clinical research?,To fund the research,To manage the study site,To ensure compliance with legal conditions,To provide opinions on the scientific validity and ethical aspects,option_d
OIC-020-27-B,What does differential selection bias refer to?,Biasing one group of participants more than another,A type of non-differential bias where the risk is evenly distributed across groups,A statistical method used to reduce selection bias in studies,Involves using a different classification criterion for exposed and unexposed subjects,option_a
OIC-020-19-B,What type of study can only be conducted if a control group is selected randomly from all subjects in the cohort?,Nested Case-Control Study,Quasi-Experimental Study,Study on Grouped (Aggregated) Data,Case-Cohort Study,option_a
OIC-020-14-B,What is a measure of adjustment?,A statistical method to compare the effect of different factors on an outcome.,An unrelated measurement that may have the same effect as the adjusted result.,A type of confounding variable that affects both exposure and outcome.,The unadjusted measure that shows the association between a factor and an outcome without considering any other factors.,option_a
OIC-020-13-B,What does 'censoring' mean in survival data?,The process of excluding or missing data from consideration due to non-occurrence of an event,Including all individuals who are still under observation at any point during a study period,The complete time until the occurrence (or non-occurrence) of the event and follow-up time for each subject,"Censoring is when an individual is 'lost to view' before the end of the study, resulting in no survival time being recorded",option_a
OIC-020-18-A,What is a common way to identify observational studies in health research?,A cohort study with a cross-sectional starting point,An exposed/unexposed study with a retrospective design,A case-control study with a prospective design,A cross-sectional study with a mixed design,option_a
OIC-020-10-B,What is a type of probability model where the outcomes are not known but can be predicted with certainty?,Model,Simulation,Prediction,Uncertainty,option_a
OIC-020-16-A,What is an exposure factor in a study?,The variable that participants are exposed to,The variable that causes the effect on health,A biological condition affecting individuals or populations,An intervention used to test hypotheses,option_a
OIC-020-02-A,What is the key characteristic of a protocol in clinical research?,Modifiable,Non-modifiable,Inexplicable,Flexible,b
OIC-020-24-A,What factor does most affect the power of a statistical study?,Sample Size,Alpha Risk,Variability,Number of Participants Required for the Study,option_a
OIC-020-20-A,"What is the name of the probability of an event (e.g., a disease) occurring in a population over a given period?",Risk,Probability of an event,Incidence Rate,Prevalence,option_a
OIC-020-25-A,What is the minimum number of subjects required to be included in a study to ensure desired precision?,4,3,5,2,c
OIC-020-07-B,What is the main purpose of defining sampling methods?,To ensure that all individuals are included,To create a perfect representation of the target population,To reduce costs and increase accessibility of the study,To make samples more representative of the source population,d
OIC-020-32-B,What is the primary purpose of peer-review in research publishing?,To improve the quality of publications,To publish articles quickly and openly with no guarantee of scientific integrity,To protect researchers from predatory journals,None of the above,option_a
OIC-020-09-B,What is a composite criterion when assessing the primary endpoint in health research?,A simple endpoint that can be easily measured,An endpoint that is very clinically relevant,A combination of two or more endpoints to assess overall disease severity,A single endpoint that directly measures the primary disease process,c
OIC-020-29-A,What is the correct term for **probability that there is a difference in mean between two groups?,p-value,alpha risk,confidence level,power of a test,option_b
OIC-020-05-B,What is the key step to formulate research hypotheses?,"To identify a clear, specific problem statement that addresses the research question",To randomly assign participants to different groups without considering their characteristics,To use a pre-defined statistical test to prove or disprove the hypothesis,To simply declare 'We believe' our findings will be significant,"To identify a clear, specific problem statement that addresses the research question"
OIC-020-11-B,What does a mode represent in descriptive statistics?,The total number of observations,A specific value from the dataset,A single value that occurs most frequently,All values except the ones listed above,c
OIC-020-28-B,What type of analysis can be used to determine if there is a significant difference in the association between exposure and outcome due to an interaction factor?,Stratified Analysis,Introduction of an Interaction Term into a Multivariate Model,Confounding Factor,Interaction Test,b
OIC-020-15-B,What consideration should be taken when using health data?,Ensure that it is anonymized,Allow direct access by patients,Use only in aggregate form,Do not share at all with the public,Ensure that it is anonymized
OIC-020-23-A,"When calculating Relative Risk (RR), what factor does not affect its estimation?",sample size,data type,study design,population size,b
OIC-020-33-A,What is a positive predictive value?,probability of being ill if the test is positive,percentage of healthy people who will be tested positive for a disease,percentage of sick people who will not be tested positive for a disease,the likelihood ratio between a positive and negative result of a test,option_a
OIC-020-17-A,What should be considered the 'source' population for the study?,The entire health care system,A random sample of patients with diabetes,Only people who have been prescribed antihypertensives,The total number of children in a community,option_b
OIC-020-30-A,What is the Bradford Hill Causality Criteria #2?,The strength of the association between exposure and the phenomenon studied,Presence of temporal ambiguity,Absence of external consistency,Specificity of the relationship between exposure and the phenomenon studied,d
OIC-020-01-A,What is the level of organisation in France for health research?,Ministries,Research councils,Government agencies,Public institutions,option_a
OIC-020-31-B,What is the purpose of the Système National des Données de Santé (SNDS)?,"To collect and analyze medical research, including microbiome data from patients.",To monitor environmental factors such as climate change on human health.,To store laboratory test results for personalized medicine treatments.,To track the user's activity and location through wearables and sensors.,option_a
OIC-020-21-B,What does 'standardization' in health research mean?,Comparing identical groups,Adding specific weights to each group,Adjusting for differences between groups,Removing non-representative data points,c
OIC-020-04-B,What is one key element that justifies the usefulness and relevance of a research problem?,Using epidemiological data from previous studies,Including statistically significant results,Focusing on low level evidence from previous studies,Plausible pathophysiological hypotheses,option_a
OIC-020-08-B,What is an ad hoc study?,A research project based on a selected sample of individuals.,A multi-institutional collaboration between different laboratories and institutes.,An all-encompassing questionnaire covering the entire population.,A systematic review of existing literature by experts in the field.,a
OIC-020-06-B,What is the correct approach when defining the objective of a study?,Specify the target population and source,Identify the risk factors in analytical studies,Define the aim of the study as descriptive or explanatory,Use experimental methods to evaluate diagnostic performance,c
OIC-162-16-B,Identify the correct measure for managing gonococcal STI treatment.,Offer antibiotic prophylaxis to prevent recontamination after treatment,Avoid using condoms with all partners to reduce risk of transmission,"Focus on treating only symptomatic patients, not asymptomatic ones",Use a placebo for screening tests,option_a
OIC-162-05-A,What is the main cause of a chancre in syphilis?,A sexually transmitted infection (STI) caused by Treponema pallidum.,A viral infection that causes painful ulcers to appear and heal quickly on the skin.,"An infectious disease caused by a fungus, such as yeast or bacteria.",A trauma to the vulva or anus.,a
OIC-162-08-A,What is the primary clinical sign of male urethritis?,Urethritis,Spermuria,Hematuria,Prostatitis,a
OIC-162-34-B,"What is the recommended treatment duration for unaccompanied pregnancy with chlamydia, gonococcus and trichomoniasis?",14,21, , ,b
OIC-162-21-B,What is the recommended treatment for uncomplicated IGH in women?,Ceftriaxone 500mg IV single dose,Erythropoietin 1000 IU IM every 4 hours,Azithromycin 1g IV once daily,Dexamethasone 200mg IV once daily,option_a
OIC-162-27-A,What is the main difference between Treponemal Tests (TT) and Non-Treponemal Tests (NTT)?,"Treponemal Test positive, NTT negative","Treponemal Test negative, NTT positive",Both tests positive or negative equally,Only Treponemal Test can be used to diagnose syphilis,option_a
OIC-162-35-A,What is a major long-term consequence of Gonococcal Infection (G. I.) in women?,PID,Tubal Infertility,Ectopic Pregnancy,Hpv Infections,c
OIC-162-28-A,What is the typical treatment course for primary syphilis?,Benzathine penicillin G single dose of 2.5 mg/kg IM,Gonococcal chlamydial vaccine,Doxycycline for 30 days,"Benzathine penicillin G single dose of 10 million units IM}}.}, The correct answer is option_a: Benzathine penicillin G single dose of 2.5 mg/kg IM.} } {","The correct treatment course for primary syphilis is a single intramuscular dose of benzathine penicillin G, not the provided doses that are much higher and less commonly administered."
OIC-162-32-B,What is the main etiology of trichomoniasis?,A) Gonococcal,B) Human papillomavirus (HPV),C) Trichomoniasis,D) Placental pathology,c
OIC-162-36-B,Which age group is most likely to have gonococcal STI?,Young girls,Older men,Children,Post-menopausal women,a
OIC-162-22-A,What is the recommended vaccination for sexually transmitted infections?,HPV,Hepatitis A,Typhoid fever,HPA,HPV
OIC-162-12-A,What is the primary cause of trichomoniasis?,Intense pruritus,Punctiform (,Vaginal yeast infection,Genital herpes,option_a
OIC-162-18-A,What is the recommended treatment protocol for gonococcal and chlamydial urethritis?,1000mg of Metronidazole,"Ceftriaxone IM or IV, Doxycycline 200mg PO for 7 days",Azithromycin 250mg single dose and Metronidazole 1g single dose,Levonorgestrel intrauterine device (IUD),b
OIC-162-29-B,"What is the most effective treatment for late secondary syphilis, according to current guidelines?",Zinc gluconate injection once a week for 3 weeks.,Benzathine penicillin G single dose IM once. 2.4 million units.,Mannitol solution infusion once a day for 14 days.,Corticosteroids injections once a month for 12 months.,option_b
OIC-162-13-B,"What is the most common cause of upper genital infections in women, known as venereal origin?",Gonococcus,Chlamydia,Trichomoniasis,Mycoplasma genitalium,b
OIC-162-10-A,What is a notable sign of gonococcal infection in women?,Pelvic heaviness,Signs of associated urethritis,Dyspareunia,Leucorrhoea,option_a
OIC-162-33-B,Which of the following is NOT a recommended test for diagnosing Chlamydia trachomatis infection?,PCR in men,No benefit from serology,Direct examination in women as well as men,Culture on cooked blood agar,"Distractor: option a, b, c, and d are all recommended tests for Chlamydia trachomatis infection. Therefore, option_a is incorrect."
OIC-162-01-A,What is the only STI responsible for urogenital infections in men?,Neisseria gonorrhoeae,Chlamydia trachomatis,Trichomonas vaginalis,Human papillomavirus (HPV),option_a
OIC-162-20-A,Which of the following antibiotics is commonly used to treat gonococcal STI?,Ceftriaxone,Azithromycin,Gentamicin,Ciprofloxacin,a
OIC-162-25-B,What is the primary clinical feature of syphilitic glossitis?,A painful rash on the tongue,A depigmented patch on the eyebrows,A fever and headache,A false periodontal ulcer,c
OIC-162-14-B,What is a common extra-genital manifestation of gonococcal infection?,Anorectitis,Pharyngitis,Oropharyngeal abscess,Gonococcal Septicemia,option_a
OIC-162-15-A,"What is the primary purpose of performing a culture test on urethral discharge, particularly in women under 20 years old?",To confirm the presence of gonorrhea,To check for strep throat,To diagnose bacterial vaginosis,To assess the risk of transmission to newborns,option_a
OIC-162-02-B,"What is the main difference between gonococcal and chlamydia, based on their increasing prevalence?",Gonococcal disease has a higher incidence in men than women,Chlamydia infection up to 10% is more common than gonorrhea,The peak age for gonococcal and chlamydia infections varies by region,Both gonococcal and chlamydia are increasing in France,c
OIC-162-30-A,What is the main difference between Condylomata Acuminata and Flat Condyloma?,Condylomata Acuminata,Flat Condyloma,Intraepithelial Neoplasia (IEN),Rubric,b
OIC-162-17-B,What is the next step in managing a suspected upper genital infection in women with high RBC count?,Blood culture of the cervical mucus,Antibiotic treatment of Chlamydia trachomatis only,Endometrial biopsy without diagnostic cultures or PCR for gonorrhea or chlamydia,Cervical screening with Pap smear and HPV test but no upper genital infection investigations,Blood culture of the cervical mucus
OIC-162-09-B,What is the primary etiology of urethritis in men?,Escherichia,Klebsiella,Enterobacter,Serratia,a
OIC-162-19-A,What is the correct procedure for screening for HPV infections in men?,Perform an FCV or HPV-HR test.,Urethroscopy for urethral involvement and colposcopy and biopsy for women with anal involvement.,Full proctological examination for all genital infections.,N/A (HPV testing is not recommended in men without symptoms).,option_a
OIC-162-03-A,What is a common preventive measure for sexually transmitted infections?,HPV vaccination,Taking a cold shower to prevent STIs,A pre-exposure prophylaxis (PrEP) treatment with a specific medication,Getting a flu shot to prevent STIs,option_c
OIC-162-23-A,What is characteristic of a primary chancre?,It typically appears as an indurated plaque,It may undergo spontaneous regression.,It can be accompanied by satellite adenopathy,It usually appears on the genitals in a single location,a
OIC-162-11-B,What is a common symptom of syphilis in women?,Flu-like symptoms,Vaginal itching,Fever with chills and fatigue,A feeling of intense pressure on the pelvic area that worsens when you laugh or cough,c
OIC-162-04-A,Who should undergo screening for gonococcal STI?,A partner who has sex with multiple people,A partner who only engages in vaginal sex,A person from a different country,None of the above,A partner who has sex with multiple people
OIC-162-31-B,What is the recommended treatment for HPV-related infections?,HPV vaccine,Cryotherapy,Chemical treatment,Imiquimod,a
OIC-162-24-B,When was the positive serology test for late latent syphilis confirmed?,After a year,Before a year,Within one month of exposure,The result is still pending after two years,b
OIC-157-18-B,What should be the initial antibiotic therapy in a child with Staphylococcus aureus bacteremia?,Ampicillin,Vancomycin,Ceftriaxone,Penicillin K,option_b
OIC-157-14-A,What is essential for reducing the risk of relapse when treating bacteremia?,Antibiotics,Fasting,Eating a balanced diet,Probiotics,a
OIC-157-03-A,What is a common secondary site to seek when managing fungemia in adults?,Bleeding sites,Retinal lesions,Renal failure,Cervical lymphadenopathy,b
OIC-157-15-B,What is the best course of action when a child has necrotizing fasciitis?,Administer antibiotics immediately,Perform surgical debridement without waiting for results,Try to drain the abscess with warm compresses only,Use heat therapy to treat the infection,option_a
OIC-157-02-B,What percentage of patients with bacteremia/fungemia present with severity criteria?,0.25,1/4,10/100,15% - 20%,b
OIC-157-08-A,"When prescribing emergency samples, what is a valid exception for the rule that microbiological tests must be taken before starting antibiotic therapy?",Microbiological sampling can be delayed if there are no signs of septic shock or bacterial meningitis,A urine culture should always be performed first,"If patients are in a coma, taking blood cultures is not necessary before starting antibiotic therapy",Blood cultures must be taken immediately after the patient is awake and mobile.,option_a
OIC-157-05-B,What is the primary route of entry for Candida albicans into the bloodstream?,Oral cavity,Central venous line,Abdominal surgery,Unknown location,c
OIC-157-11-A,What is a good criterion for determining whether CRP levels in patients with Bacteremia/Fungemia are likely due to bacterial infection?,A CRP level > 0.5 ng/ml,A CRP level < 0.25 ng/ml,No specific criterion is needed as it's non-specific and can be influenced by many factors,All of the above (consider CRP alone or in combination with other biomarkers),b
OIC-157-10-B,What is the primary indication for echocardiography in the context of bacteremia/fungemia?,To assess left ventricular function,To check for signs of endocarditis,To determine if the patient has a heart condition that could be causing their symptoms,To diagnose a coagulopathy,c
OIC-157-01-A,What is the primary source of bacteria in bacteremia?,Urine,Mucous membrane,Wound,Hormone,option_a
OIC-157-04-A,What is the typical source of infection for Streptococcus pneumoniae in adults and children under three months?,The lungs,The mouth,The skin,The heart,The lungs
OIC-157-13-A,What is the correct use of vancomycin for Streptococcus pneumoniae?,A. Vancomycin as a prophylactic measure,B. Vancomycin in patients with allergic reactions to penicillin A,C. Vancomycin in combination with cefotaxime for severe community-acquired pneumonia,D. Vancomycin alone for Streptococcus pneumoniae infections,D
OIC-157-09-A,When to consider blood cultures for fungal infections?,Blood cultures should be taken when there is suspicion of endocarditis or immunosuppression,Any positive vial from a patient with no fever indicates contamination during puncture,Fungal blood cultures should only be performed if the patient has a compatible context and presents the same antibiotic sensitivity phenotype as another pair of blood cultures taken under similar conditions,"Blood cultures are always necessary for true bacteremia, regardless of species or context",c
OIC-157-07-A,What percentage of the general population are healthy carriers of Staphylococcus aureus?,80%,10%,20%,100%,a
OIC-157-17-B,What is a typical choice for empirical antibiotic therapy in non-community patients with suspected bacteremia/fungemia?,Cephalosporin,Sulfonamide,Ketocillin,Trimethoprim/Sulfamethoxazole,option_a
OIC-157-06-B,What percentage of catheter-related infections in adults are caused by staphylococci?, ,50,60, ,b
OIC-157-12-A,What does 'probabilistic therapeutic management' mean in the context of bacteremia/fungemia?,"A, B, C",1. Using a single antibiotic for everyone,"D, E, F",2. Choosing an antimicrobial based on the suspected route of entry only,b
OIC-157-16-B,"What should be done immediately following treatment,",Perform a thorough physical examination,Use antibiotics for 6 months post-treatment,Install an indwelling catheter in the patient's veins without checking for thrombosis first,Wait 12 days before investigating for endocarditis with echocardiography,Perform a thorough physical examination
OIC-039-07-A,What is the primary indication for using a partner's frozen donor sperm in Intrauterine Insemination (IUI)?,To address erectile dysfunction and ante-penetration ejaculation,"For viral risk in men to prevent transmission of HIV, hepatitis B, or C",To treat male cytogenetics disorders such as Klinefelter syndrome,Unexplained infertility due to severe sperm parameters alterations,a
OIC-039-11-B,What is the minimum investigations to carry out prior to MAP treatment?,A clinical examination of both members of the couple,Uterine and/or uterotubal examination,"Spermogram, spermocytogram, and sperm culture",Testicular ultrasound and sperm excretory tract ultrasound,A clinical examination of both members of the couple
OIC-039-06-A,What is a common indication for recourse to Map in cases of infertility?,Reproductive pathologies,Fertility preservation,The risk of transmission of a viral pathology,Fulfillment of a parental project of a female couple or an unmarried woman,option_a
OIC-039-08-A,"What is a main indication for ICSI when using epididymal sperm, in cases where the patient has failed to conceive naturally?",Use of epididymal sperm extracted surgically.,Use of urine-derived sperm.,Use of testicular or retrograde ejaculated sperm.,Assisted natural reproductive technology (ANRT).,option_a
OIC-039-02-A,What is the main purpose of female fertility preservation?,To prevent premature ovarian failure,To delay fatherhood until later in life,To treat infertility without treatment,None of the above,a
OIC-039-10-A,What is the primary indication for gonad preservation in females?,Cancer treatment,Premature ovarian failure,Haematological disease,Bilateral benign ovarian tumour,c
OIC-039-01-A,What is medically assisted procreation?,A technique used to control population growth,A natural process in which humans reproduce,A method of preserving sperm and egg cells for future use,An artificial substitute for a woman's menstrual cycle,c
OIC-039-13-B,What is a common complication associated with ovarian stimulation in women who use **Map** (medication-assisted reproduction) techniques?,Ovarian hyperstimulation syndrome,Allergic reaction to medication,Pelvic venous thrombosis,Premature birth,c
OIC-039-05-B,What is the estimated number of MAP (Intrauterine Insemination) procedures performed per year in France? | ,"20,000","40,000","48,000","60,000",c
OIC-039-04-A,"What are the two main female fertility preservation techniques for which at least two weeks of stimulation is required before freezing and storing the oocytes or embryos?
","Freezing and storage of mature oocytes without prior hormonal stimulation
","Freezing and storage of mature oocytes with prior in vitro maturation of immature oocytes
","Freezing and storage of mature oocytes stimulated by ovarian stimulation drugs before freezing and storing the embryos
","Freezing and storage of mature oocytes without ovarian stimulation
",b
